y_1,x_1,y_2,x_2
65665,37935,65775,38045
65665,38045,65775,38155
65665,38155,65775,38265
65665,38265,65775,38375
65665,38375,65775,38485
65665,38485,65775,38595
65665,38595,65775,38705
65665,38705,65775,38815
65775,37935,65885,38045
65775,38045,65885,38155
65775,38155,65885,38265
65775,38265,65885,38375
65775,38375,65885,38485
65775,38485,65885,38595
65775,38595,65885,38705
65775,38705,65885,38815
65885,37935,65995,38045
65885,38045,65995,38155
65885,38155,65995,38265
65885,38265,65995,38375
65885,38375,65995,38485
65885,38485,65995,38595
65885,38595,65995,38705
65885,38705,65995,38815
65995,37935,66105,38045
65995,38045,66105,38155
65995,38155,66105,38265
65995,38265,66105,38375
65995,38375,66105,38485
65995,38485,66105,38595
65995,38595,66105,38705
65995,38705,66105,38815
66105,37935,66215,38045
66105,38045,66215,38155
66105,38155,66215,38265
66105,38265,66215,38375
66105,38375,66215,38485
66105,38485,66215,38595
66105,38595,66215,38705
66105,38705,66215,38815
66215,37935,66325,38045
66215,38045,66325,38155
66215,38155,66325,38265
66215,38265,66325,38375
66215,38375,66325,38485
66215,38485,66325,38595
66215,38595,66325,38705
66215,38705,66325,38815
66325,37935,66435,38045
66325,38045,66435,38155
66325,38155,66435,38265
66325,38265,66435,38375
66325,38375,66435,38485
66325,38485,66435,38595
66325,38595,66435,38705
66325,38705,66435,38815
66435,37935,66545,38045
66435,38045,66545,38155
66435,38155,66545,38265
66435,38265,66545,38375
66435,38375,66545,38485
66435,38485,66545,38595
66435,38595,66545,38705
66435,38705,66545,38815
