y_1,x_1,y_2,x_2
65380,42655,65490,42765
65380,42765,65490,42875
65380,42875,65490,42985
65380,42985,65490,43095
65380,43095,65490,43205
65380,43205,65490,43315
65380,43315,65490,43425
65380,43425,65490,43535
65490,42655,65600,42765
65490,42765,65600,42875
65490,42875,65600,42985
65490,42985,65600,43095
65490,43095,65600,43205
65490,43205,65600,43315
65490,43315,65600,43425
65490,43425,65600,43535
65600,42655,65710,42765
65600,42765,65710,42875
65600,42875,65710,42985
65600,42985,65710,43095
65600,43095,65710,43205
65600,43205,65710,43315
65600,43315,65710,43425
65600,43425,65710,43535
65710,42655,65820,42765
65710,42765,65820,42875
65710,42875,65820,42985
65710,42985,65820,43095
65710,43095,65820,43205
65710,43205,65820,43315
65710,43315,65820,43425
65710,43425,65820,43535
65820,42655,65930,42765
65820,42765,65930,42875
65820,42875,65930,42985
65820,42985,65930,43095
65820,43095,65930,43205
65820,43205,65930,43315
65820,43315,65930,43425
65820,43425,65930,43535
65930,42655,66040,42765
65930,42765,66040,42875
65930,42875,66040,42985
65930,42985,66040,43095
65930,43095,66040,43205
65930,43205,66040,43315
65930,43315,66040,43425
65930,43425,66040,43535
66040,42655,66150,42765
66040,42765,66150,42875
66040,42875,66150,42985
66040,42985,66150,43095
66040,43095,66150,43205
66040,43205,66150,43315
66040,43315,66150,43425
66040,43425,66150,43535
66150,42655,66260,42765
66150,42765,66260,42875
66150,42875,66260,42985
66150,42985,66260,43095
66150,43095,66260,43205
66150,43205,66260,43315
66150,43315,66260,43425
66150,43425,66260,43535
