y_1,x_1,y_2,x_2
62530,44705,62640,44815
62530,44815,62640,44925
62530,44925,62640,45035
62530,45035,62640,45145
62530,45145,62640,45255
62530,45255,62640,45365
62530,45365,62640,45475
62530,45475,62640,45585
62640,44705,62750,44815
62640,44815,62750,44925
62640,44925,62750,45035
62640,45035,62750,45145
62640,45145,62750,45255
62640,45255,62750,45365
62640,45365,62750,45475
62640,45475,62750,45585
62750,44705,62860,44815
62750,44815,62860,44925
62750,44925,62860,45035
62750,45035,62860,45145
62750,45145,62860,45255
62750,45255,62860,45365
62750,45365,62860,45475
62750,45475,62860,45585
62860,44705,62970,44815
62860,44815,62970,44925
62860,44925,62970,45035
62860,45035,62970,45145
62860,45145,62970,45255
62860,45255,62970,45365
62860,45365,62970,45475
62860,45475,62970,45585
62970,44705,63080,44815
62970,44815,63080,44925
62970,44925,63080,45035
62970,45035,63080,45145
62970,45145,63080,45255
62970,45255,63080,45365
62970,45365,63080,45475
62970,45475,63080,45585
63080,44705,63190,44815
63080,44815,63190,44925
63080,44925,63190,45035
63080,45035,63190,45145
63080,45145,63190,45255
63080,45255,63190,45365
63080,45365,63190,45475
63080,45475,63190,45585
63190,44705,63300,44815
63190,44815,63300,44925
63190,44925,63300,45035
63190,45035,63300,45145
63190,45145,63300,45255
63190,45255,63300,45365
63190,45365,63300,45475
63190,45475,63300,45585
63300,44705,63410,44815
63300,44815,63410,44925
63300,44925,63410,45035
63300,45035,63410,45145
63300,45145,63410,45255
63300,45255,63410,45365
63300,45365,63410,45475
63300,45475,63410,45585
