y_1,x_1,y_2,x_2
53580,43885,53690,43995
53580,43995,53690,44105
53580,44105,53690,44215
53580,44215,53690,44325
53580,44325,53690,44435
53580,44435,53690,44545
53580,44545,53690,44655
53580,44655,53690,44765
53690,43885,53800,43995
53690,43995,53800,44105
53690,44105,53800,44215
53690,44215,53800,44325
53690,44325,53800,44435
53690,44435,53800,44545
53690,44545,53800,44655
53690,44655,53800,44765
53800,43885,53910,43995
53800,43995,53910,44105
53800,44105,53910,44215
53800,44215,53910,44325
53800,44325,53910,44435
53800,44435,53910,44545
53800,44545,53910,44655
53800,44655,53910,44765
53910,43885,54020,43995
53910,43995,54020,44105
53910,44105,54020,44215
53910,44215,54020,44325
53910,44325,54020,44435
53910,44435,54020,44545
53910,44545,54020,44655
53910,44655,54020,44765
54020,43885,54130,43995
54020,43995,54130,44105
54020,44105,54130,44215
54020,44215,54130,44325
54020,44325,54130,44435
54020,44435,54130,44545
54020,44545,54130,44655
54020,44655,54130,44765
54130,43885,54240,43995
54130,43995,54240,44105
54130,44105,54240,44215
54130,44215,54240,44325
54130,44325,54240,44435
54130,44435,54240,44545
54130,44545,54240,44655
54130,44655,54240,44765
54240,43885,54350,43995
54240,43995,54350,44105
54240,44105,54350,44215
54240,44215,54350,44325
54240,44325,54350,44435
54240,44435,54350,44545
54240,44545,54350,44655
54240,44655,54350,44765
54350,43885,54460,43995
54350,43995,54460,44105
54350,44105,54460,44215
54350,44215,54460,44325
54350,44325,54460,44435
54350,44435,54460,44545
54350,44545,54460,44655
54350,44655,54460,44765
