y_1,x_1,y_2,x_2
51805,43705,51915,43815
51805,43815,51915,43925
51805,43925,51915,44035
51805,44035,51915,44145
51805,44145,51915,44255
51805,44255,51915,44365
51805,44365,51915,44475
51805,44475,51915,44585
51915,43705,52025,43815
51915,43815,52025,43925
51915,43925,52025,44035
51915,44035,52025,44145
51915,44145,52025,44255
51915,44255,52025,44365
51915,44365,52025,44475
51915,44475,52025,44585
52025,43705,52135,43815
52025,43815,52135,43925
52025,43925,52135,44035
52025,44035,52135,44145
52025,44145,52135,44255
52025,44255,52135,44365
52025,44365,52135,44475
52025,44475,52135,44585
52135,43705,52245,43815
52135,43815,52245,43925
52135,43925,52245,44035
52135,44035,52245,44145
52135,44145,52245,44255
52135,44255,52245,44365
52135,44365,52245,44475
52135,44475,52245,44585
52245,43705,52355,43815
52245,43815,52355,43925
52245,43925,52355,44035
52245,44035,52355,44145
52245,44145,52355,44255
52245,44255,52355,44365
52245,44365,52355,44475
52245,44475,52355,44585
52355,43705,52465,43815
52355,43815,52465,43925
52355,43925,52465,44035
52355,44035,52465,44145
52355,44145,52465,44255
52355,44255,52465,44365
52355,44365,52465,44475
52355,44475,52465,44585
52465,43705,52575,43815
52465,43815,52575,43925
52465,43925,52575,44035
52465,44035,52575,44145
52465,44145,52575,44255
52465,44255,52575,44365
52465,44365,52575,44475
52465,44475,52575,44585
52575,43705,52685,43815
52575,43815,52685,43925
52575,43925,52685,44035
52575,44035,52685,44145
52575,44145,52685,44255
52575,44255,52685,44365
52575,44365,52685,44475
52575,44475,52685,44585
