y_1,x_1,y_2,x_2
65720,37885,65830,37995
65720,37940,65830,38050
65720,37995,65830,38105
65720,38050,65830,38160
65720,38105,65830,38215
65720,38160,65830,38270
65720,38215,65830,38325
65720,38270,65830,38380
65775,37885,65885,37995
65775,37940,65885,38050
65775,37995,65885,38105
65775,38050,65885,38160
65775,38105,65885,38215
65775,38160,65885,38270
65775,38215,65885,38325
65775,38270,65885,38380
65830,37885,65940,37995
65830,37940,65940,38050
65830,37995,65940,38105
65830,38050,65940,38160
65830,38105,65940,38215
65830,38160,65940,38270
65830,38215,65940,38325
65830,38270,65940,38380
65885,37885,65995,37995
65885,37940,65995,38050
65885,37995,65995,38105
65885,38050,65995,38160
65885,38105,65995,38215
65885,38160,65995,38270
65885,38215,65995,38325
65885,38270,65995,38380
65940,37885,66050,37995
65940,37940,66050,38050
65940,37995,66050,38105
65940,38050,66050,38160
65940,38105,66050,38215
65940,38160,66050,38270
65940,38215,66050,38325
65940,38270,66050,38380
65995,37885,66105,37995
65995,37940,66105,38050
65995,37995,66105,38105
65995,38050,66105,38160
65995,38105,66105,38215
65995,38160,66105,38270
65995,38215,66105,38325
65995,38270,66105,38380
66050,37885,66160,37995
66050,37940,66160,38050
66050,37995,66160,38105
66050,38050,66160,38160
66050,38105,66160,38215
66050,38160,66160,38270
66050,38215,66160,38325
66050,38270,66160,38380
66105,37885,66215,37995
66105,37940,66215,38050
66105,37995,66215,38105
66105,38050,66215,38160
66105,38105,66215,38215
66105,38160,66215,38270
66105,38215,66215,38325
66105,38270,66215,38380
