y_1,x_1,y_2,x_2
10135,7489,10209,7563
10135,7563,10209,7636
10135,7636,10209,7709
10135,7709,10209,7783
10135,7783,10209,7856
10135,7856,10209,7929
10135,7929,10209,8003
10135,8003,10209,8076
10209,7489,10282,7563
10209,7563,10282,7636
10209,7636,10282,7709
10209,7709,10282,7783
10209,7783,10282,7856
10209,7856,10282,7929
10209,7929,10282,8003
10209,8003,10282,8076
10282,7489,10355,7563
10282,7563,10355,7636
10282,7636,10355,7709
10282,7709,10355,7783
10282,7783,10355,7856
10282,7856,10355,7929
10282,7929,10355,8003
10282,8003,10355,8076
10355,7489,10429,7563
10355,7563,10429,7636
10355,7636,10429,7709
10355,7709,10429,7783
10355,7783,10429,7856
10355,7856,10429,7929
10355,7929,10429,8003
10355,8003,10429,8076
10429,7489,10502,7563
10429,7563,10502,7636
10429,7636,10502,7709
10429,7709,10502,7783
10429,7783,10502,7856
10429,7856,10502,7929
10429,7929,10502,8003
10429,8003,10502,8076
10502,7489,10575,7563
10502,7563,10575,7636
10502,7636,10575,7709
10502,7709,10575,7783
10502,7783,10575,7856
10502,7856,10575,7929
10502,7929,10575,8003
10502,8003,10575,8076
10575,7489,10649,7563
10575,7563,10649,7636
10575,7636,10649,7709
10575,7709,10649,7783
10575,7783,10649,7856
10575,7856,10649,7929
10575,7929,10649,8003
10575,8003,10649,8076
10649,7489,10722,7563
10649,7563,10722,7636
10649,7636,10722,7709
10649,7709,10722,7783
10649,7783,10722,7856
10649,7856,10722,7929
10649,7929,10722,8003
10649,8003,10722,8076
