y_1,x_1,y_2,x_2
4169,6943,4242,7016
4169,7016,4242,7089
4169,7089,4242,7163
4169,7163,4242,7236
4169,7236,4242,7309
4169,7309,4242,7383
4169,7383,4242,7456
4169,7456,4242,7529
4242,6943,4315,7016
4242,7016,4315,7089
4242,7089,4315,7163
4242,7163,4315,7236
4242,7236,4315,7309
4242,7309,4315,7383
4242,7383,4315,7456
4242,7456,4315,7529
4315,6943,4389,7016
4315,7016,4389,7089
4315,7089,4389,7163
4315,7163,4389,7236
4315,7236,4389,7309
4315,7309,4389,7383
4315,7383,4389,7456
4315,7456,4389,7529
4389,6943,4462,7016
4389,7016,4462,7089
4389,7089,4462,7163
4389,7163,4462,7236
4389,7236,4462,7309
4389,7309,4462,7383
4389,7383,4462,7456
4389,7456,4462,7529
4462,6943,4535,7016
4462,7016,4535,7089
4462,7089,4535,7163
4462,7163,4535,7236
4462,7236,4535,7309
4462,7309,4535,7383
4462,7383,4535,7456
4462,7456,4535,7529
4535,6943,4609,7016
4535,7016,4609,7089
4535,7089,4609,7163
4535,7163,4609,7236
4535,7236,4609,7309
4535,7309,4609,7383
4535,7383,4609,7456
4535,7456,4609,7529
4609,6943,4682,7016
4609,7016,4682,7089
4609,7089,4682,7163
4609,7163,4682,7236
4609,7236,4682,7309
4609,7309,4682,7383
4609,7383,4682,7456
4609,7456,4682,7529
4682,6943,4755,7016
4682,7016,4755,7089
4682,7089,4755,7163
4682,7163,4755,7236
4682,7236,4755,7309
4682,7309,4755,7383
4682,7383,4755,7456
4682,7456,4755,7529
