y_1,x_1,y_2,x_2
2985,6823,3059,6896
2985,6896,3059,6969
2985,6969,3059,7043
2985,7043,3059,7116
2985,7116,3059,7189
2985,7189,3059,7263
2985,7263,3059,7336
2985,7336,3059,7409
3059,6823,3132,6896
3059,6896,3132,6969
3059,6969,3132,7043
3059,7043,3132,7116
3059,7116,3132,7189
3059,7189,3132,7263
3059,7263,3132,7336
3059,7336,3132,7409
3132,6823,3205,6896
3132,6896,3205,6969
3132,6969,3205,7043
3132,7043,3205,7116
3132,7116,3205,7189
3132,7189,3205,7263
3132,7263,3205,7336
3132,7336,3205,7409
3205,6823,3279,6896
3205,6896,3279,6969
3205,6969,3279,7043
3205,7043,3279,7116
3205,7116,3279,7189
3205,7189,3279,7263
3205,7263,3279,7336
3205,7336,3279,7409
3279,6823,3352,6896
3279,6896,3352,6969
3279,6969,3352,7043
3279,7043,3352,7116
3279,7116,3352,7189
3279,7189,3352,7263
3279,7263,3352,7336
3279,7336,3352,7409
3352,6823,3425,6896
3352,6896,3425,6969
3352,6969,3425,7043
3352,7043,3425,7116
3352,7116,3425,7189
3352,7189,3425,7263
3352,7263,3425,7336
3352,7336,3425,7409
3425,6823,3499,6896
3425,6896,3499,6969
3425,6969,3499,7043
3425,7043,3499,7116
3425,7116,3499,7189
3425,7189,3499,7263
3425,7263,3499,7336
3425,7336,3499,7409
3499,6823,3572,6896
3499,6896,3572,6969
3499,6969,3572,7043
3499,7043,3572,7116
3499,7116,3572,7189
3499,7189,3572,7263
3499,7263,3572,7336
3499,7336,3572,7409
