y_1,x_1,y_2,x_2
3141,2325,3152,2336
3141,2336,3152,2347
3141,2347,3152,2358
3141,2358,3152,2369
3141,2369,3152,2380
3141,2380,3152,2391
3141,2391,3152,2402
3141,2402,3152,2413
3152,2325,3163,2336
3152,2336,3163,2347
3152,2347,3163,2358
3152,2358,3163,2369
3152,2369,3163,2380
3152,2380,3163,2391
3152,2391,3163,2402
3152,2402,3163,2413
3163,2325,3174,2336
3163,2336,3174,2347
3163,2347,3174,2358
3163,2358,3174,2369
3163,2369,3174,2380
3163,2380,3174,2391
3163,2391,3174,2402
3163,2402,3174,2413
3174,2325,3185,2336
3174,2336,3185,2347
3174,2347,3185,2358
3174,2358,3185,2369
3174,2369,3185,2380
3174,2380,3185,2391
3174,2391,3185,2402
3174,2402,3185,2413
3185,2325,3196,2336
3185,2336,3196,2347
3185,2347,3196,2358
3185,2358,3196,2369
3185,2369,3196,2380
3185,2380,3196,2391
3185,2391,3196,2402
3185,2402,3196,2413
3196,2325,3207,2336
3196,2336,3207,2347
3196,2347,3207,2358
3196,2358,3207,2369
3196,2369,3207,2380
3196,2380,3207,2391
3196,2391,3207,2402
3196,2402,3207,2413
3207,2325,3218,2336
3207,2336,3218,2347
3207,2347,3218,2358
3207,2358,3218,2369
3207,2369,3218,2380
3207,2380,3218,2391
3207,2391,3218,2402
3207,2402,3218,2413
3218,2325,3229,2336
3218,2336,3229,2347
3218,2347,3229,2358
3218,2358,3229,2369
3218,2369,3229,2380
3218,2380,3229,2391
3218,2391,3229,2402
3218,2402,3229,2413
