y_1,x_1,y_2,x_2
3576,1831,3598,1853
3576,1853,3598,1875
3576,1875,3598,1897
3576,1897,3598,1919
3576,1919,3598,1941
3576,1941,3598,1963
3576,1963,3598,1985
3576,1985,3598,2007
3598,1831,3620,1853
3598,1853,3620,1875
3598,1875,3620,1897
3598,1897,3620,1919
3598,1919,3620,1941
3598,1941,3620,1963
3598,1963,3620,1985
3598,1985,3620,2007
3620,1831,3642,1853
3620,1853,3642,1875
3620,1875,3642,1897
3620,1897,3642,1919
3620,1919,3642,1941
3620,1941,3642,1963
3620,1963,3642,1985
3620,1985,3642,2007
3642,1831,3664,1853
3642,1853,3664,1875
3642,1875,3664,1897
3642,1897,3664,1919
3642,1919,3664,1941
3642,1941,3664,1963
3642,1963,3664,1985
3642,1985,3664,2007
3664,1831,3686,1853
3664,1853,3686,1875
3664,1875,3686,1897
3664,1897,3686,1919
3664,1919,3686,1941
3664,1941,3686,1963
3664,1963,3686,1985
3664,1985,3686,2007
3686,1831,3708,1853
3686,1853,3708,1875
3686,1875,3708,1897
3686,1897,3708,1919
3686,1919,3708,1941
3686,1941,3708,1963
3686,1963,3708,1985
3686,1985,3708,2007
3708,1831,3730,1853
3708,1853,3730,1875
3708,1875,3730,1897
3708,1897,3730,1919
3708,1919,3730,1941
3708,1941,3730,1963
3708,1963,3730,1985
3708,1985,3730,2007
3730,1831,3752,1853
3730,1853,3752,1875
3730,1875,3752,1897
3730,1897,3752,1919
3730,1919,3752,1941
3730,1941,3752,1963
3730,1963,3752,1985
3730,1985,3752,2007
