y_1,x_1,y_2,x_2
3633,887,3655,909
3633,909,3655,931
3633,931,3655,953
3633,953,3655,975
3633,975,3655,997
3633,997,3655,1019
3633,1019,3655,1041
3633,1041,3655,1063
3655,887,3677,909
3655,909,3677,931
3655,931,3677,953
3655,953,3677,975
3655,975,3677,997
3655,997,3677,1019
3655,1019,3677,1041
3655,1041,3677,1063
3677,887,3699,909
3677,909,3699,931
3677,931,3699,953
3677,953,3699,975
3677,975,3699,997
3677,997,3699,1019
3677,1019,3699,1041
3677,1041,3699,1063
3699,887,3721,909
3699,909,3721,931
3699,931,3721,953
3699,953,3721,975
3699,975,3721,997
3699,997,3721,1019
3699,1019,3721,1041
3699,1041,3721,1063
3721,887,3743,909
3721,909,3743,931
3721,931,3743,953
3721,953,3743,975
3721,975,3743,997
3721,997,3743,1019
3721,1019,3743,1041
3721,1041,3743,1063
3743,887,3765,909
3743,909,3765,931
3743,931,3765,953
3743,953,3765,975
3743,975,3765,997
3743,997,3765,1019
3743,1019,3765,1041
3743,1041,3765,1063
3765,887,3787,909
3765,909,3787,931
3765,931,3787,953
3765,953,3787,975
3765,975,3787,997
3765,997,3787,1019
3765,1019,3787,1041
3765,1041,3787,1063
3787,887,3809,909
3787,909,3809,931
3787,931,3809,953
3787,953,3809,975
3787,975,3809,997
3787,997,3809,1019
3787,1019,3809,1041
3787,1041,3809,1063
