y_1,x_1,y_2,x_2
1216,2077,1238,2099
1216,2099,1238,2121
1216,2121,1238,2143
1216,2143,1238,2165
1216,2165,1238,2187
1216,2187,1238,2209
1216,2209,1238,2231
1216,2231,1238,2253
1238,2077,1260,2099
1238,2099,1260,2121
1238,2121,1260,2143
1238,2143,1260,2165
1238,2165,1260,2187
1238,2187,1260,2209
1238,2209,1260,2231
1238,2231,1260,2253
1260,2077,1282,2099
1260,2099,1282,2121
1260,2121,1282,2143
1260,2143,1282,2165
1260,2165,1282,2187
1260,2187,1282,2209
1260,2209,1282,2231
1260,2231,1282,2253
1282,2077,1304,2099
1282,2099,1304,2121
1282,2121,1304,2143
1282,2143,1304,2165
1282,2165,1304,2187
1282,2187,1304,2209
1282,2209,1304,2231
1282,2231,1304,2253
1304,2077,1326,2099
1304,2099,1326,2121
1304,2121,1326,2143
1304,2143,1326,2165
1304,2165,1326,2187
1304,2187,1326,2209
1304,2209,1326,2231
1304,2231,1326,2253
1326,2077,1348,2099
1326,2099,1348,2121
1326,2121,1348,2143
1326,2143,1348,2165
1326,2165,1348,2187
1326,2187,1348,2209
1326,2209,1348,2231
1326,2231,1348,2253
1348,2077,1370,2099
1348,2099,1370,2121
1348,2121,1370,2143
1348,2143,1370,2165
1348,2165,1370,2187
1348,2187,1370,2209
1348,2209,1370,2231
1348,2231,1370,2253
1370,2077,1392,2099
1370,2099,1392,2121
1370,2121,1392,2143
1370,2143,1392,2165
1370,2165,1392,2187
1370,2187,1392,2209
1370,2209,1392,2231
1370,2231,1392,2253
