y_1,x_1,y_2,x_2
861,2041,883,2063
861,2063,883,2085
861,2085,883,2107
861,2107,883,2129
861,2129,883,2151
861,2151,883,2173
861,2173,883,2195
861,2195,883,2217
883,2041,905,2063
883,2063,905,2085
883,2085,905,2107
883,2107,905,2129
883,2129,905,2151
883,2151,905,2173
883,2173,905,2195
883,2195,905,2217
905,2041,927,2063
905,2063,927,2085
905,2085,927,2107
905,2107,927,2129
905,2129,927,2151
905,2151,927,2173
905,2173,927,2195
905,2195,927,2217
927,2041,949,2063
927,2063,949,2085
927,2085,949,2107
927,2107,949,2129
927,2129,949,2151
927,2151,949,2173
927,2173,949,2195
927,2195,949,2217
949,2041,971,2063
949,2063,971,2085
949,2085,971,2107
949,2107,971,2129
949,2129,971,2151
949,2151,971,2173
949,2173,971,2195
949,2195,971,2217
971,2041,993,2063
971,2063,993,2085
971,2085,993,2107
971,2107,993,2129
971,2129,993,2151
971,2151,993,2173
971,2173,993,2195
971,2195,993,2217
993,2041,1015,2063
993,2063,1015,2085
993,2085,1015,2107
993,2107,1015,2129
993,2129,1015,2151
993,2151,1015,2173
993,2173,1015,2195
993,2195,1015,2217
1015,2041,1037,2063
1015,2063,1037,2085
1015,2085,1037,2107
1015,2107,1037,2129
1015,2129,1037,2151
1015,2151,1037,2173
1015,2173,1037,2195
1015,2195,1037,2217
