y_1,x_1,y_2,x_2
3006,2241,3028,2263
3006,2263,3028,2285
3006,2285,3028,2307
3006,2307,3028,2329
3006,2329,3028,2351
3006,2351,3028,2373
3006,2373,3028,2395
3006,2395,3028,2417
3028,2241,3050,2263
3028,2263,3050,2285
3028,2285,3050,2307
3028,2307,3050,2329
3028,2329,3050,2351
3028,2351,3050,2373
3028,2373,3050,2395
3028,2395,3050,2417
3050,2241,3072,2263
3050,2263,3072,2285
3050,2285,3072,2307
3050,2307,3072,2329
3050,2329,3072,2351
3050,2351,3072,2373
3050,2373,3072,2395
3050,2395,3072,2417
3072,2241,3094,2263
3072,2263,3094,2285
3072,2285,3094,2307
3072,2307,3094,2329
3072,2329,3094,2351
3072,2351,3094,2373
3072,2373,3094,2395
3072,2395,3094,2417
3094,2241,3116,2263
3094,2263,3116,2285
3094,2285,3116,2307
3094,2307,3116,2329
3094,2329,3116,2351
3094,2351,3116,2373
3094,2373,3116,2395
3094,2395,3116,2417
3116,2241,3138,2263
3116,2263,3138,2285
3116,2285,3138,2307
3116,2307,3138,2329
3116,2329,3138,2351
3116,2351,3138,2373
3116,2373,3138,2395
3116,2395,3138,2417
3138,2241,3160,2263
3138,2263,3160,2285
3138,2285,3160,2307
3138,2307,3160,2329
3138,2329,3160,2351
3138,2351,3160,2373
3138,2373,3160,2395
3138,2395,3160,2417
3160,2241,3182,2263
3160,2263,3182,2285
3160,2285,3182,2307
3160,2307,3182,2329
3160,2329,3182,2351
3160,2351,3182,2373
3160,2373,3182,2395
3160,2395,3182,2417
