y_1,x_1,y_2,x_2
48,1089,59,1100
52,1100,63,1111
52,1162,63,1173
54,1173,65,1184
57,1048,68,1059
57,1067,68,1078
57,1078,68,1089
59,1089,70,1100
62,1037,73,1048
63,1100,74,1111
65,1171,76,1182
68,1072,79,1083
76,1161,87,1172
76,1204,87,1215
82,1116,93,1127
82,1127,93,1138
84,1097,95,1108
86,1193,97,1204
87,1204,98,1215
91,1215,102,1226
93,1108,104,1119
97,1185,108,1196
98,1196,109,1207
102,1210,113,1221
107,1238,118,1249
108,1139,119,1150
109,1189,120,1200
109,1263,120,1274
109,1285,120,1296
111,1274,122,1285
112,1150,123,1161
113,1075,124,1086
113,1086,124,1097
114,1168,125,1179
114,1296,125,1307
115,1049,126,1060
116,1249,127,1260
118,1213,129,1224
118,1235,129,1246
119,1200,130,1211
119,1307,130,1318
120,1185,131,1196
120,1285,131,1296
122,1267,133,1278
125,1296,136,1307
126,1046,137,1057
127,1034,138,1045
129,1023,140,1034
129,1211,140,1222
130,1057,141,1068
130,1196,141,1207
130,1307,141,1318
131,1278,142,1289
133,1261,144,1272
135,1185,146,1196
135,1222,146,1233
136,1289,147,1300
137,1045,148,1056
138,1034,149,1045
140,1019,151,1030
140,1207,151,1218
141,1196,152,1207
141,1233,152,1244
141,1300,152,1311
142,1272,153,1283
143,1244,154,1255
144,1255,155,1266
146,1181,157,1192
146,1218,157,1229
147,1283,158,1294
148,1045,159,1056
149,1030,160,1041
150,1146,161,1157
151,1207,162,1218
152,1192,163,1203
152,1229,163,1240
152,1294,163,1305
153,1266,164,1277
154,1240,165,1251
155,1251,166,1262
157,905,168,916
157,1171,168,1182
157,1218,168,1229
158,1277,169,1288
160,1305,171,1316
162,1203,173,1214
163,1182,174,1193
163,1229,174,1240
163,1288,174,1299
164,916,175,927
164,1262,175,1273
165,1240,176,1251
166,1068,177,1079
166,1143,177,1154
166,1251,177,1262
168,1214,179,1225
169,1273,180,1284
171,1299,182,1310
173,1193,184,1204
174,1225,185,1236
174,1284,185,1295
175,913,186,924
175,924,186,935
175,1126,186,1137
175,1262,186,1273
176,1154,187,1165
176,1236,187,1247
177,1064,188,1075
177,1137,188,1148
177,1180,188,1191
177,1247,188,1258
179,1204,190,1215
180,1273,191,1284
181,1166,192,1177
184,876,195,887
184,889,195,900
184,1109,195,1120
184,1191,195,1202
185,1075,196,1086
185,1215,196,1226
186,910,197,921
186,1120,197,1131
186,1258,197,1269
187,1148,198,1159
187,1226,198,1237
188,1064,199,1075
188,1131,199,1142
188,1177,199,1188
188,1237,199,1248
190,1202,201,1213
191,1269,202,1280
192,1159,203,1170
195,796,206,807
195,1103,206,1114
195,1188,206,1199
196,1075,207,1086
196,1213,207,1224
197,1114,208,1125
197,1248,208,1259
198,1142,209,1153
198,1224,209,1235
199,1059,210,1070
199,1125,210,1136
199,1170,210,1181
199,1235,210,1246
200,1086,211,1097
201,1199,212,1210
202,1259,213,1270
203,1153,214,1164
206,1097,217,1108
206,1181,217,1192
207,1070,218,1081
207,1210,218,1221
208,1108,219,1119
208,1246,219,1257
209,1136,220,1147
209,1221,220,1232
210,1119,221,1130
210,1164,221,1175
210,1232,221,1243
211,1081,222,1092
212,1192,223,1203
213,1326,224,1337
214,1147,225,1158
217,1092,228,1103
217,1175,228,1186
218,1064,229,1075
218,1203,229,1214
219,1103,230,1114
219,1314,230,1325
220,1130,231,1141
220,1214,231,1225
221,1114,232,1125
221,1158,232,1169
222,1075,233,1086
223,1186,234,1197
224,1325,235,1336
225,1141,236,1152
227,1336,238,1347
228,1086,239,1097
228,1169,239,1180
230,1097,241,1108
230,1303,241,1314
230,1314,241,1325
231,1125,242,1136
232,1108,243,1119
232,1152,243,1163
233,1067,244,1078
235,1325,246,1336
236,1136,247,1147
237,1038,248,1049
237,1054,248,1065
238,1336,249,1347
238,1535,249,1546
239,1078,250,1089
239,1167,250,1178
241,1089,252,1100
241,1306,252,1317
242,1119,253,1130
243,1100,254,1111
244,755,255,766
244,1065,255,1076
245,1261,256,1272
246,1317,257,1328
247,1249,258,1260
248,1029,259,1040
248,1040,259,1051
248,1051,259,1062
249,1328,260,1339
249,1339,260,1350
250,661,261,672
250,1076,261,1087
251,1232,262,1243
252,1087,263,1098
253,1111,264,1122
253,1122,264,1133
254,1098,265,1109
254,1146,265,1157
255,1062,266,1073
256,1133,267,1144
256,1260,267,1271
257,1312,268,1323
258,1243,269,1254
259,638,270,649
259,1020,270,1031
259,1031,270,1042
259,1042,270,1053
260,1323,271,1334
260,1334,271,1345
260,1345,271,1356
261,657,272,668
261,1073,272,1084
261,1420,272,1431
262,1230,273,1241
262,1271,273,1282
263,593,274,604
263,1084,274,1095
264,1392,275,1403
265,848,276,859
265,1095,276,1106
265,1144,276,1155
265,1431,276,1442
266,582,277,593
266,1053,277,1064
267,1254,278,1265
268,627,279,638
269,1241,280,1252
270,638,281,649
270,1015,281,1026
270,1026,281,1037
270,1037,281,1048
271,571,282,582
271,1313,282,1324
272,649,283,660
272,973,283,984
272,1064,283,1075
273,771,284,782
273,1003,284,1014
273,1265,284,1276
274,593,285,604
274,694,285,705
274,1075,285,1086
276,1086,287,1097
277,582,288,593
277,760,288,771
278,1252,289,1263
279,624,290,635
279,1301,290,1312
280,1232,291,1243
281,635,292,646
281,782,292,793
281,1014,292,1025
281,1025,292,1036
281,1036,292,1047
282,1312,293,1323
283,646,294,657
283,657,294,668
283,1404,294,1415
284,771,295,782
284,843,295,854
284,1353,295,1364
285,695,296,706
286,543,297,554
286,668,297,679
287,1079,298,1090
288,581,299,592
288,747,299,758
288,758,299,769
288,1217,299,1228
289,1174,300,1185
289,1243,300,1254
290,619,301,630
291,531,302,542
291,1228,302,1239
292,554,303,565
292,630,303,641
292,706,303,717
292,782,303,793
292,1024,303,1035
293,1305,304,1316
294,651,305,662
294,1400,305,1411
295,769,306,780
295,1254,306,1265
295,1353,306,1364
296,1090,307,1101
297,542,308,553
297,606,308,617
297,662,308,673
298,1073,309,1084
299,581,310,592
299,592,310,603
299,747,310,758
299,1214,310,1225
300,1174,311,1185
300,1239,311,1250
302,522,313,533
302,1225,313,1236
303,553,314,564
303,622,314,633
303,787,314,798
303,1199,314,1210
304,798,315,809
305,1390,316,1401
307,1084,318,1095
307,1283,318,1294
307,1533,318,1544
308,533,319,544
308,659,319,670
308,775,319,786
308,1037,319,1048
309,1069,320,1080
310,582,321,593
310,593,321,604
310,1213,321,1224
310,1331,321,1342
311,1169,322,1180
312,691,323,702
313,1224,324,1235
313,1318,324,1329
314,544,325,555
314,555,325,566
314,618,325,629
315,791,326,802
315,802,326,813
316,1058,327,1069
316,1388,327,1399
318,604,329,615
318,1432,329,1443
319,524,330,535
320,770,331,781
320,1521,331,1532
321,587,332,598
321,1102,332,1113
321,1211,332,1222
321,1329,332,1340
322,655,333,666
322,1171,333,1182
323,689,334,700
323,700,334,711
323,872,334,883
323,1416,334,1427
324,1222,335,1233
324,1340,335,1351
325,535,336,546
325,546,336,557
325,557,336,568
325,615,336,626
326,795,337,806
327,643,338,654
328,1090,339,1101
328,1351,339,1362
329,598,340,609
329,1427,340,1438
329,1500,340,1511
331,768,342,779
332,1210,343,1221
332,1323,343,1334
333,1117,344,1128
335,568,346,579
335,630,346,641
335,1292,346,1303
335,1312,346,1323
335,1334,346,1345
336,525,347,536
336,536,347,547
336,547,347,558
337,798,348,809
337,1263,348,1274
339,1089,350,1100
340,595,351,606
340,821,351,832
340,1252,351,1263
341,809,352,820
343,1203,354,1214
344,1111,355,1122
345,579,356,590
345,787,356,798
346,558,357,569
346,636,357,647
346,1297,357,1308
346,1308,357,1319
346,1330,357,1341
347,516,358,527
347,527,358,538
347,538,358,549
347,1100,358,1111
348,798,359,809
348,1241,359,1252
349,1283,360,1294
351,820,362,831
351,1252,362,1263
352,809,363,820
353,1350,364,1361
354,607,365,618
355,831,366,842
356,569,367,580
356,580,367,591
356,786,367,797
357,1294,368,1305
357,1326,368,1337
358,510,369,521
358,1093,369,1104
359,767,370,778
359,797,370,808
359,1233,370,1244
359,1337,370,1348
360,1279,371,1290
361,632,372,643
362,820,373,831
362,1244,373,1255
362,1255,373,1266
364,643,375,654
364,1348,375,1359
365,614,376,625
365,1266,376,1277
366,831,377,842
367,778,378,789
368,1291,379,1302
368,1302,379,1313
368,1325,379,1336
368,1375,379,1386
370,585,381,596
370,766,381,777
370,789,381,800
370,800,381,811
370,1232,381,1243
370,1313,381,1324
370,1336,381,1347
372,727,383,738
373,457,384,468
373,1243,384,1254
375,1347,386,1358
376,715,387,726
377,831,388,842
378,777,389,788
379,1283,390,1294
379,1301,390,1312
379,1324,390,1335
379,1372,390,1383
380,657,391,668
381,788,392,799
381,799,392,810
381,1312,392,1323
381,1335,392,1346
383,726,394,737
383,737,394,748
383,1420,394,1431
384,634,395,645
384,1239,395,1250
385,608,396,619
386,1346,397,1357
387,706,398,717
387,1269,398,1280
388,645,399,656
388,829,399,840
389,678,400,689
389,771,400,782
390,1280,401,1291
390,1298,401,1309
390,1323,401,1334
390,1373,401,1384
392,782,403,793
392,793,403,804
392,1309,403,1320
392,1334,403,1345
394,717,405,728
394,728,405,739
394,739,405,750
394,1417,405,1428
395,628,406,639
395,689,406,700
397,1345,408,1356
398,700,409,711
399,639,410,650
399,1261,410,1272
401,1287,412,1298
401,1298,412,1309
401,1320,412,1331
401,1373,412,1384
