y_1,x_1,y_2,x_2
54795,45655,54905,45765
54795,45660,54905,45770
54795,45665,54905,45775
54795,45670,54905,45780
54795,45675,54905,45785
54795,45680,54905,45790
54800,45655,54910,45765
54800,45660,54910,45770
54800,45665,54910,45775
54800,45670,54910,45780
54800,45675,54910,45785
54800,45680,54910,45790
54800,45685,54910,45795
54800,45690,54910,45800
54800,45695,54910,45805
54800,45700,54910,45810
54800,45705,54910,45815
54800,45710,54910,45820
54800,45715,54910,45825
54805,45655,54915,45765
54805,45660,54915,45770
54805,45665,54915,45775
54805,45670,54915,45780
54805,45675,54915,45785
54805,45680,54915,45790
54805,45685,54915,45795
54805,45690,54915,45800
54805,45695,54915,45805
54805,45700,54915,45810
54805,45705,54915,45815
54805,45710,54915,45820
54805,45715,54915,45825
54805,45720,54915,45830
54810,45655,54920,45765
54810,45660,54920,45770
54810,45665,54920,45775
54810,45670,54920,45780
54810,45675,54920,45785
54810,45680,54920,45790
54810,45685,54920,45795
54810,45690,54920,45800
54810,45695,54920,45805
54810,45700,54920,45810
54815,45655,54925,45765
54815,45660,54925,45770
54815,45665,54925,45775
54815,45670,54925,45780
54815,45675,54925,45785
54815,45680,54925,45790
54815,45685,54925,45795
54815,45690,54925,45800
54815,45695,54925,45805
54815,45700,54925,45810
54820,45655,54930,45765
54820,45660,54930,45770
54820,45665,54930,45775
54820,45670,54930,45780
54820,45675,54930,45785
54820,45680,54930,45790
54820,45685,54930,45795
54820,45690,54930,45800
54820,45695,54930,45805
54820,45700,54930,45810
54825,45655,54935,45765
54825,45660,54935,45770
54825,45665,54935,45775
54825,45670,54935,45780
54825,45675,54935,45785
54825,45680,54935,45790
54825,45685,54935,45795
54825,45690,54935,45800
54825,45695,54935,45805
54830,45655,54940,45765
54830,45660,54940,45770
54830,45665,54940,45775
54830,45670,54940,45780
54830,45675,54940,45785
54830,45680,54940,45790
54830,45685,54940,45795
54830,45690,54940,45800
54835,45655,54945,45765
54835,45660,54945,45770
54835,45665,54945,45775
54835,45670,54945,45780
54835,45675,54945,45785
54835,45680,54945,45790
54835,45685,54945,45795
54840,45655,54950,45765
54840,45660,54950,45770
54840,45665,54950,45775
54840,45670,54950,45780
54840,45675,54950,45785
54840,45680,54950,45790
54840,45685,54950,45795
54845,45655,54955,45765
54845,45660,54955,45770
54845,45665,54955,45775
54845,45670,54955,45780
54845,45675,54955,45785
54850,45655,54960,45765
54850,45660,54960,45770
54850,45665,54960,45775
54850,45670,54960,45780
54850,45675,54960,45785
55325,45100,55435,45210
55330,45075,55440,45185
55330,45080,55440,45190
55330,45085,55440,45195
55330,45090,55440,45200
55330,45095,55440,45205
55330,45100,55440,45210
55335,45070,55445,45180
55335,45075,55445,45185
55335,45080,55445,45190
55335,45085,55445,45195
55335,45090,55445,45200
55335,45095,55445,45205
55335,45100,55445,45210
55340,45065,55450,45175
55340,45070,55450,45180
55340,45075,55450,45185
55340,45080,55450,45190
55340,45085,55450,45195
55340,45090,55450,45200
55340,45095,55450,45205
55340,45100,55450,45210
55345,45060,55455,45170
55345,45065,55455,45175
55345,45070,55455,45180
55345,45075,55455,45185
55345,45080,55455,45190
55345,45085,55455,45195
55345,45090,55455,45200
55345,45095,55455,45205
55345,45100,55455,45210
55350,45060,55460,45170
55350,45065,55460,45175
55350,45070,55460,45180
55350,45075,55460,45185
55350,45080,55460,45190
55350,45085,55460,45195
55350,45090,55460,45200
55350,45095,55460,45205
55350,45100,55460,45210
55355,45060,55465,45170
55355,45065,55465,45175
55355,45070,55465,45180
55355,45075,55465,45185
55355,45080,55465,45190
55355,45085,55465,45195
55355,45090,55465,45200
55355,45095,55465,45205
55355,45100,55465,45210
55360,45060,55470,45170
55360,45065,55470,45175
55360,45070,55470,45180
55360,45075,55470,45185
55360,45080,55470,45190
55360,45085,55470,45195
55360,45090,55470,45200
55360,45095,55470,45205
55360,45100,55470,45210
55365,45060,55475,45170
55365,45065,55475,45175
55365,45070,55475,45180
55365,45075,55475,45185
55365,45080,55475,45190
55365,45085,55475,45195
55365,45090,55475,45200
55365,45095,55475,45205
55365,45100,55475,45210
55370,45060,55480,45170
55370,45065,55480,45175
55370,45070,55480,45180
55370,45075,55480,45185
55370,45080,55480,45190
55370,45085,55480,45195
55370,45090,55480,45200
55370,45095,55480,45205
55370,45100,55480,45210
55375,45060,55485,45170
55375,45065,55485,45175
55375,45070,55485,45180
55375,45075,55485,45185
55375,45080,55485,45190
55375,45085,55485,45195
55375,45090,55485,45200
55375,45095,55485,45205
55375,45100,55485,45210
55380,45060,55490,45170
55380,45065,55490,45175
55380,45070,55490,45180
55380,45075,55490,45185
55380,45080,55490,45190
55380,45085,55490,45195
55380,45090,55490,45200
55380,45095,55490,45205
55380,45100,55490,45210
55385,45060,55495,45170
55385,45065,55495,45175
55385,45070,55495,45180
55385,45075,55495,45185
55385,45080,55495,45190
55385,45085,55495,45195
55385,45090,55495,45200
55385,45095,55495,45205
55385,45100,55495,45210
55390,45040,55500,45150
55390,45045,55500,45155
55390,45050,55500,45160
55390,45055,55500,45165
55390,45060,55500,45170
55390,45065,55500,45175
55390,45070,55500,45180
55390,45075,55500,45185
55390,45080,55500,45190
55390,45085,55500,45195
55390,45090,55500,45200
55390,45095,55500,45205
55390,45100,55500,45210
55395,45035,55505,45145
55395,45040,55505,45150
55395,45045,55505,45155
55395,45050,55505,45160
55395,45055,55505,45165
55395,45060,55505,45170
55395,45065,55505,45175
