y_1,x_1,y_2,x_2
12659,2473,12695,2509
12659,2509,12695,2546
12659,2546,12695,2583
12659,2583,12695,2619
12659,2619,12695,2656
12659,2656,12695,2693
12659,2693,12695,2729
12659,2729,12695,2766
12659,2766,12695,2803
12659,2803,12695,2839
12659,2839,12695,2876
12695,2473,12732,2509
12695,2509,12732,2546
12695,2546,12732,2583
12695,2583,12732,2619
12695,2619,12732,2656
12695,2656,12732,2693
12695,2693,12732,2729
12695,2729,12732,2766
12695,2766,12732,2803
12695,2803,12732,2839
12695,2839,12732,2876
12732,2473,12769,2509
12732,2509,12769,2546
12732,2546,12769,2583
12732,2583,12769,2619
12732,2619,12769,2656
12732,2656,12769,2693
12732,2693,12769,2729
12732,2729,12769,2766
12732,2766,12769,2803
12732,2803,12769,2839
12732,2839,12769,2876
12769,2473,12805,2509
12769,2509,12805,2546
12769,2546,12805,2583
12769,2583,12805,2619
12769,2619,12805,2656
12769,2656,12805,2693
12769,2693,12805,2729
12769,2729,12805,2766
12769,2766,12805,2803
12769,2803,12805,2839
12769,2839,12805,2876
12805,2473,12842,2509
12805,2509,12842,2546
12805,2546,12842,2583
12805,2583,12842,2619
12805,2619,12842,2656
12805,2656,12842,2693
12805,2693,12842,2729
12805,2729,12842,2766
12805,2766,12842,2803
12805,2803,12842,2839
12805,2839,12842,2876
12842,2473,12879,2509
12842,2509,12879,2546
12842,2546,12879,2583
12842,2583,12879,2619
12842,2619,12879,2656
12842,2656,12879,2693
12842,2693,12879,2729
12842,2729,12879,2766
12842,2766,12879,2803
12842,2803,12879,2839
12842,2839,12879,2876
12879,2473,12915,2509
12879,2509,12915,2546
12879,2546,12915,2583
12879,2583,12915,2619
12879,2619,12915,2656
12879,2656,12915,2693
12879,2693,12915,2729
12879,2729,12915,2766
12879,2766,12915,2803
12879,2803,12915,2839
12879,2839,12915,2876
12915,2473,12952,2509
12915,2509,12952,2546
12915,2546,12952,2583
12915,2583,12952,2619
12915,2619,12952,2656
12915,2656,12952,2693
12915,2693,12952,2729
12915,2729,12952,2766
12915,2766,12952,2803
12915,2803,12952,2839
12915,2839,12952,2876
12952,2473,12989,2509
12952,2509,12989,2546
12952,2546,12989,2583
12952,2583,12989,2619
12952,2619,12989,2656
12952,2656,12989,2693
12952,2693,12989,2729
12952,2729,12989,2766
12952,2766,12989,2803
12952,2803,12989,2839
12952,2839,12989,2876
12989,2473,13025,2509
12989,2509,13025,2546
12989,2546,13025,2583
12989,2583,13025,2619
12989,2619,13025,2656
12989,2656,13025,2693
12989,2693,13025,2729
12989,2729,13025,2766
12989,2766,13025,2803
12989,2803,13025,2839
12989,2839,13025,2876
13025,2473,13062,2509
13025,2509,13062,2546
13025,2546,13062,2583
13025,2583,13062,2619
13025,2619,13062,2656
13025,2656,13062,2693
13025,2693,13062,2729
13025,2729,13062,2766
13025,2766,13062,2803
13025,2803,13062,2839
13025,2839,13062,2876
