y_1,x_1,y_2,x_2
3763,736,3774,747
3763,747,3774,758
3763,758,3774,769
3763,769,3774,780
3763,780,3774,791
3763,791,3774,802
3763,802,3774,813
3763,813,3774,824
3763,824,3774,835
3763,835,3774,846
3763,846,3774,857
3774,736,3785,747
3774,747,3785,758
3774,758,3785,769
3774,769,3785,780
3774,780,3785,791
3774,791,3785,802
3774,802,3785,813
3774,813,3785,824
3774,824,3785,835
3774,835,3785,846
3774,846,3785,857
3785,736,3796,747
3785,747,3796,758
3785,758,3796,769
3785,769,3796,780
3785,780,3796,791
3785,791,3796,802
3785,802,3796,813
3785,813,3796,824
3785,824,3796,835
3785,835,3796,846
3785,846,3796,857
3796,736,3807,747
3796,747,3807,758
3796,758,3807,769
3796,769,3807,780
3796,780,3807,791
3796,791,3807,802
3796,802,3807,813
3796,813,3807,824
3796,824,3807,835
3796,835,3807,846
3796,846,3807,857
3807,736,3818,747
3807,747,3818,758
3807,758,3818,769
3807,769,3818,780
3807,780,3818,791
3807,791,3818,802
3807,802,3818,813
3807,813,3818,824
3807,824,3818,835
3807,835,3818,846
3807,846,3818,857
3818,736,3829,747
3818,747,3829,758
3818,758,3829,769
3818,769,3829,780
3818,780,3829,791
3818,791,3829,802
3818,802,3829,813
3818,813,3829,824
3818,824,3829,835
3818,835,3829,846
3818,846,3829,857
3829,736,3840,747
3829,747,3840,758
3829,758,3840,769
3829,769,3840,780
3829,780,3840,791
3829,791,3840,802
3829,802,3840,813
3829,813,3840,824
3829,824,3840,835
3829,835,3840,846
3829,846,3840,857
3840,736,3851,747
3840,747,3851,758
3840,758,3851,769
3840,769,3851,780
3840,780,3851,791
3840,791,3851,802
3840,802,3851,813
3840,813,3851,824
3840,824,3851,835
3840,835,3851,846
3840,846,3851,857
3851,736,3862,747
3851,747,3862,758
3851,758,3862,769
3851,769,3862,780
3851,780,3862,791
3851,791,3862,802
3851,802,3862,813
3851,813,3862,824
3851,824,3862,835
3851,835,3862,846
3851,846,3862,857
3862,736,3873,747
3862,747,3873,758
3862,758,3873,769
3862,769,3873,780
3862,780,3873,791
3862,791,3873,802
3862,802,3873,813
3862,813,3873,824
3862,824,3873,835
3862,835,3873,846
3862,846,3873,857
3873,736,3884,747
3873,747,3884,758
3873,758,3884,769
3873,769,3884,780
3873,780,3884,791
3873,791,3884,802
3873,802,3884,813
3873,813,3884,824
3873,824,3884,835
3873,835,3884,846
3873,846,3884,857
