y_1,x_1,y_2,x_2
285,5559,322,5596
295,5523,332,5559
305,5486,342,5523
315,5443,352,5479
325,5399,362,5436
332,5523,369,5559
335,5356,372,5393
335,5896,372,5933
349,5856,385,5893
352,5436,389,5473
355,5269,392,5306
359,5816,395,5853
362,5396,399,5433
385,5853,422,5889
395,5779,432,5816
395,5816,432,5853
405,5579,442,5616
409,5616,445,5653
409,5653,445,5689
415,5489,452,5526
422,5976,459,6013
432,5779,469,5816
439,5526,475,5563
442,5579,479,5616
442,5689,479,5726
445,5616,482,5653
445,5653,482,5689
445,5726,482,5763
452,5469,489,5506
459,5963,495,5999
459,5999,495,6036
475,5529,512,5566
479,5566,515,5603
495,5403,532,5439
495,5976,532,6013
495,6013,532,6049
505,6069,542,6106
532,5976,569,6013
535,5483,572,5519
535,5709,572,5746
539,5383,575,5419
542,6049,579,6086
559,5786,595,5823
562,5429,599,5466
562,5746,599,5783
565,5279,602,5316
569,5839,605,5876
569,5936,605,5973
569,5973,605,6009
572,5243,609,5279
572,5696,609,5733
575,5376,612,5413
579,6066,615,6103
582,5876,619,5913
585,5323,622,5359
589,6009,625,6046
592,6249,629,6286
595,5783,632,5819
599,5413,635,5449
599,5733,635,5769
605,5819,642,5856
605,5926,642,5963
605,5963,642,5999
609,5229,645,5266
609,6206,645,6243
612,5169,649,5206
615,6046,652,6083
615,6083,652,6119
619,5856,655,5893
622,6153,659,6189
625,5999,662,6036
625,6359,662,6396
639,5116,675,5153
642,5939,679,5976
645,5206,682,5243
645,5243,682,5279
649,5153,685,5189
649,5279,685,5316
649,5316,685,5353
652,6036,689,6073
652,6073,689,6109
655,6306,692,6343
659,6139,695,6176
662,5976,699,6013
662,6343,699,6379
672,6379,709,6416
675,5086,712,5123
679,5919,715,5956
679,6423,715,6459
682,5189,719,5226
682,5226,719,5263
685,5123,722,5159
685,5263,722,5299
685,5299,722,5336
689,6013,725,6049
689,6049,725,6086
689,6086,725,6123
692,6306,729,6343
695,6123,732,6159
695,6159,732,6196
699,5956,735,5993
699,6343,735,6379
705,6196,742,6233
709,6249,745,6286
709,6379,745,6416
715,5916,752,5953
715,6416,752,6453
719,5159,755,5196
719,5196,755,5233
722,5096,759,5133
722,5233,759,5269
722,5269,759,5306
725,5729,762,5766
725,5993,762,6029
725,6029,762,6066
725,6066,762,6103
729,5426,765,5463
729,6286,765,6323
732,6103,769,6139
732,6139,769,6176
732,6453,769,6489
735,4899,772,4936
735,5953,772,5989
735,6323,772,6359
742,5056,779,5093
742,6176,779,6213
742,6213,779,6249
745,5869,782,5906
745,6249,782,6286
745,6359,782,6396
749,4689,785,4726
752,5906,789,5943
752,6396,789,6433
755,5133,792,5169
755,5169,792,5206
759,5093,795,5129
759,5206,795,5243
759,5243,795,5279
759,5359,795,5396
762,5733,799,5769
762,5989,799,6026
762,6026,799,6063
762,6063,799,6099
765,6286,802,6323
769,4726,805,4763
769,6099,805,6136
769,6136,805,6173
769,6433,805,6469
772,5943,809,5979
772,6323,809,6359
775,5769,812,5806
779,6173,815,6209
779,6209,815,6246
782,4563,819,4599
782,5869,819,5906
782,6246,819,6283
782,6359,819,6396
785,4523,822,4559
789,5906,825,5943
789,6396,825,6433
792,5129,829,5166
799,5726,835,5763
799,5979,835,6016
799,6016,835,6053
799,6053,835,6089
802,6283,839,6319
805,4473,842,4509
805,6089,842,6126
805,6126,842,6163
805,6433,842,6469
809,5943,845,5979
809,6319,845,6356
812,4673,849,4709
815,6163,852,6199
815,6199,852,6236
819,4559,855,4596
819,4596,855,4633
819,5849,855,5886
819,6236,855,6273
819,6356,855,6393
822,4509,859,4546
825,5903,862,5939
825,6393,862,6429
829,5333,865,5369
835,5086,872,5123
835,5666,872,5703
835,5716,872,5753
835,5979,872,6016
835,6016,872,6053
835,6053,872,6089
839,6273,875,6309
842,6089,879,6126
842,6126,879,6163
842,6429,879,6466
845,5369,882,5406
845,5943,882,5979
845,6309,882,6346
852,6163,889,6199
852,6199,889,6236
855,4569,892,4606
855,4606,892,4643
855,6236,892,6273
855,6346,892,6383
862,6383,899,6419
872,5633,909,5669
872,5669,909,5706
872,5706,909,5743
872,5979,909,6016
872,6016,909,6053
872,6053,909,6089
875,4643,912,4679
875,5329,912,5366
875,5406,912,5443
875,5743,912,5779
875,6273,912,6309
879,5786,915,5823
879,6089,915,6126
879,6126,915,6163
879,6419,915,6456
882,5366,919,5403
882,5939,919,5976
882,6309,919,6346
885,5896,922,5933
889,6163,925,6199
889,6199,925,6236
892,4563,929,4599
892,4599,929,4636
892,6236,929,6273
892,6346,929,6383
899,6383,935,6419
902,5829,939,5866
905,4443,942,4479
909,5599,945,5636
909,5636,945,5673
909,5673,945,5709
909,5976,945,6013
909,6013,945,6049
909,6049,945,6086
912,5306,949,5343
912,5709,949,5746
912,5746,949,5783
912,6273,949,6309
915,5549,952,5586
915,5783,952,5819
915,6086,952,6123
915,6123,952,6159
915,6419,952,6456
919,5343,955,5379
919,5379,955,5416
919,5933,955,5969
919,6309,955,6346
922,5866,959,5903
925,4296,962,4333
925,6159,962,6196
925,6196,962,6233
929,4549,965,4586
929,6233,965,6269
929,6346,965,6383
935,4479,972,4516
935,6383,972,6419
939,5819,975,5856
942,4433,979,4469
942,5513,979,5549
945,5586,982,5623
945,5623,982,5659
945,5659,982,5696
945,5969,982,6006
945,6006,982,6043
945,6043,982,6079
949,5416,985,5453
949,5696,985,5733
949,5733,985,5769
949,6269,985,6306
952,5549,989,5586
952,5769,989,5806
952,6079,989,6116
952,6116,989,6153
955,5323,992,5359
955,5359,992,5396
955,5903,992,5939
955,6306,992,6343
959,5856,995,5893
962,6153,999,6189
962,6189,999,6226
962,6846,999,6883
965,6226,1002,6263
965,6343,1002,6379
972,4906,1009,4943
975,5806,1012,5843
982,5586,1019,5623
982,5623,1019,5659
982,5659,1019,5696
982,5939,1019,5976
982,5976,1019,6013
982,6013,1019,6049
985,5396,1022,5433
985,5433,1022,5469
985,5483,1022,5519
985,5696,1022,5733
985,5733,1022,5769
985,6263,1022,6299
989,5519,1025,5556
989,5769,1025,5806
989,6049,1025,6086
989,6086,1025,6123
992,5296,1029,5333
992,5333,1029,5369
992,5893,1029,5929
995,5843,1032,5879
999,6123,1035,6159
999,6159,1035,6196
999,6886,1035,6923
1002,6196,1039,6233
1012,5806,1049,5843
1019,5556,1055,5593
1019,5593,1055,5629
1019,5629,1055,5666
1019,5929,1055,5966
1019,5966,1055,6003
1019,6003,1055,6039
1022,5369,1059,5406
1022,5406,1059,5443
1022,5443,1059,5479
1022,5479,1059,5516
1022,5666,1059,5703
1022,5703,1059,5739
1022,6233,1059,6269
1025,5516,1062,5553
1025,5739,1062,5776
1025,6039,1062,6076
1025,6076,1062,6113
1029,5293,1065,5329
1029,5329,1065,5366
1029,5879,1065,5916
1032,5843,1069,5879
1035,6113,1072,6149
1035,6149,1072,6186
1035,6909,1072,6946
1039,6186,1075,6223
1042,6269,1079,6306
1049,5776,1085,5813
1055,5553,1092,5589
1055,5589,1092,5626
1055,5626,1092,5663
1055,5916,1092,5953
1055,5953,1092,5989
1055,5989,1092,6026
1059,5366,1095,5403
1059,5403,1095,5439
1059,5439,1095,5476
1059,5476,1095,5513
1059,5663,1095,5699
1059,5699,1095,5736
1059,6223,1095,6259
1059,6643,1095,6679
1062,5513,1099,5549
1062,5736,1099,5773
1062,6026,1099,6063
1062,6063,1099,6099
1065,5313,1102,5349
1065,5879,1102,5916
1069,5813,1105,5849
1072,6099,1109,6136
1072,6136,1109,6173
1075,6173,1112,6209
1079,6259,1115,6296
1079,6606,1115,6643
1085,5773,1122,5809
1092,5549,1129,5586
1092,5586,1129,5623
1092,5623,1129,5659
1092,5916,1129,5953
1092,5953,1129,5989
1092,5989,1129,6026
1095,5349,1132,5386
1095,5386,1132,5423
1095,5423,1132,5459
1095,5459,1132,5496
1095,5659,1132,5696
1095,5696,1132,5733
1095,6209,1132,6246
1095,6566,1132,6603
1095,6643,1132,6679
1099,5496,1135,5533
1099,5733,1135,5769
1099,6026,1135,6063
1099,6063,1135,6099
1102,5849,1139,5886
1105,5809,1142,5846
1109,6099,1145,6136
1109,6136,1145,6173
1109,6679,1145,6716
1115,6603,1152,6639
1119,7079,1155,7116
1122,5769,1159,5806
1125,6529,1162,6566
1129,4119,1165,4156
1129,5533,1165,5569
1129,5569,1165,5606
1129,5606,1165,5643
1129,5886,1165,5923
1129,5923,1165,5959
1129,5959,1165,5996
1132,5333,1169,5369
1132,5369,1169,5406
1132,5406,1169,5443
1132,5443,1169,5479
1132,5643,1169,5679
1132,5679,1169,5716
1132,6566,1169,6603
1132,6639,1169,6676
1135,5479,1172,5516
1135,5716,1172,5753
1135,5996,1172,6033
1139,5846,1175,5883
1142,5806,1179,5843
1145,6676,1182,6713
1152,6603,1189,6639
1155,7289,1192,7326
1159,5753,1195,5789
1159,7589,1195,7626
1162,6513,1199,6549
1165,5516,1202,5553
1165,5553,1202,5589
1165,5589,1202,5626
1165,5883,1202,5919
1165,5919,1202,5956
1169,5326,1205,5363
1169,5363,1205,5399
1169,5399,1205,5436
1169,5436,1205,5473
1169,5626,1205,5663
1169,5663,1205,5699
1169,6549,1205,6586
1169,6639,1205,6676
1172,5473,1209,5509
1172,5699,1209,5736
1172,7626,1209,7663
1175,5189,1212,5226
1175,5843,1212,5879
1179,5789,1215,5826
1182,5289,1219,5326
1182,6676,1219,6713
1185,7663,1222,7699
1189,5226,1225,5263
1189,6586,1225,6623
1192,7699,1229,7736
1195,4713,1232,4749
1195,5736,1232,5773
1195,6713,1232,6749
1195,7736,1232,7773
1202,5509,1239,5546
1202,5546,1239,5583
1202,5583,1239,5619
1202,5879,1239,5916
1205,5326,1242,5363
1205,5363,1242,5399
1205,5399,1242,5436
