y_1,x_1,y_2,x_2
491,1313,502,1324
491,1314,502,1325
491,1315,502,1326
492,1311,503,1322
492,1312,503,1323
492,1313,503,1324
492,1314,503,1325
492,1315,503,1326
492,1316,503,1327
492,1317,503,1328
492,1318,503,1329
492,1319,503,1330
493,1310,504,1321
493,1311,504,1322
493,1312,504,1323
493,1313,504,1324
493,1314,504,1325
493,1315,504,1326
493,1316,504,1327
493,1317,504,1328
493,1318,504,1329
493,1319,504,1330
494,1310,505,1321
494,1311,505,1322
494,1312,505,1323
494,1313,505,1324
495,1309,506,1320
495,1310,506,1321
495,1311,506,1322
496,1307,507,1318
496,1308,507,1319
496,1309,507,1320
516,814,527,825
517,813,528,824
517,814,528,825
523,1741,534,1752
523,1742,534,1753
546,1287,557,1298
547,1287,558,1298
548,1287,559,1298
548,1288,559,1299
549,1289,560,1300
550,1289,561,1300
551,1290,562,1301
551,1291,562,1302
581,769,592,780
581,770,592,781
581,771,592,782
602,1107,613,1118
603,1107,614,1118
604,1107,615,1118
605,1107,616,1118
606,1107,617,1118
607,1107,618,1118
608,1107,619,1118
609,1107,620,1118
622,1778,633,1789
622,1779,633,1790
622,1780,633,1791
623,1778,634,1789
623,1779,634,1790
623,1780,634,1791
624,1775,635,1786
624,1776,635,1787
624,1777,635,1788
624,1778,635,1789
624,1779,635,1790
624,1780,635,1791
642,778,653,789
642,779,653,790
643,778,654,789
643,779,654,790
643,780,654,791
643,781,654,792
643,782,654,793
643,783,654,794
643,784,654,795
643,785,654,796
644,779,655,790
644,780,655,791
644,781,655,792
644,782,655,793
644,783,655,794
645,779,656,790
645,780,656,791
645,781,656,792
645,782,656,793
645,783,656,794
646,779,657,790
646,780,657,791
646,781,657,792
646,782,657,793
646,783,657,794
646,1778,657,1789
647,780,658,791
647,1778,658,1789
648,1778,659,1789
649,1778,660,1789
670,1788,681,1799
670,1789,681,1800
671,1788,682,1799
671,1789,682,1800
700,960,711,971
700,961,711,972
701,960,712,971
701,961,712,972
701,962,712,973
701,963,712,974
719,921,730,932
720,921,731,932
723,922,734,933
724,922,735,933
724,923,735,934
725,923,736,934
726,923,737,934
727,923,738,934
727,924,738,935
728,923,739,934
728,924,739,935
728,925,739,936
1020,320,1031,331
1020,321,1031,332
1021,320,1032,331
1021,321,1032,332
1022,320,1033,331
1022,321,1033,332
1023,320,1034,331
1023,321,1034,332
1037,135,1048,146
1062,365,1073,376
1063,365,1074,376
1064,364,1075,375
1064,365,1075,376
1065,363,1076,374
1066,362,1077,373
1066,363,1077,374
1067,362,1078,373
1067,363,1078,374
1079,418,1090,429
1080,418,1091,429
1081,418,1092,429
1082,418,1093,429
1083,471,1094,482
1083,472,1094,483
1084,280,1095,291
1084,281,1095,292
1084,282,1095,293
1084,283,1095,294
1084,284,1095,295
1084,285,1095,296
1084,286,1095,297
1084,471,1095,482
1084,472,1095,483
1085,471,1096,482
1085,472,1096,483
1102,2277,1113,2288
1102,2278,1113,2289
1128,458,1139,469
1128,459,1139,470
1128,460,1139,471
1138,716,1149,727
1138,717,1149,728
