y_1,x_1,y_2,x_2
49220,40135,49330,40245
49240,40245,49350,40355
49505,40465,49615,40575
49610,40970,49720,41080
49685,40235,49795,40345
49705,40345,49815,40455
49915,40190,50025,40300
50030,40580,50140,40690
50215,40120,50325,40230
50220,36940,50330,37050
50250,41495,50360,41605
50280,41320,50390,41430
50330,37005,50440,37115
50350,37805,50460,37915
50460,37835,50570,37945
50460,38180,50570,38290
50470,40630,50580,40740
50500,40510,50610,40620
50510,38290,50620,38400
50520,37640,50630,37750
50535,40390,50645,40500
50570,40275,50680,40385
50620,40070,50730,40180
50685,41435,50795,41545
50720,39935,50830,40045
50725,42945,50835,43055
50730,40045,50840,40155
50730,40155,50840,40265
50755,41325,50865,41435
50760,39630,50870,39740
50810,39825,50920,39935
50810,41720,50920,41830
50830,39935,50940,40045
50830,43085,50940,43195
50845,41160,50955,41270
50845,41590,50955,41700
50850,43300,50960,43410
50890,39650,51000,39760
50895,41480,51005,41590
50920,39760,51030,39870
50920,41700,51030,41810
50925,42880,51035,42990
50940,39870,51050,39980
50940,41810,51050,41920
50955,41590,51065,41700
50960,38515,51070,38625
50960,43060,51070,43170
50980,39275,51090,39385
50990,43525,51100,43635
51000,39570,51110,39680
51020,39055,51130,39165
51030,39680,51140,39790
51030,41700,51140,41810
51030,43645,51140,43755
51040,40850,51150,40960
51045,38735,51155,38845
51050,41315,51160,41425
51050,41810,51160,41920
51065,41540,51175,41650
51070,43165,51180,43275
51075,39440,51185,39550
51090,38940,51200,39050
51110,39550,51220,39660
51110,40740,51220,40850
51115,41195,51225,41305
51125,39310,51235,39420
51140,41650,51250,41760
51155,38775,51265,38885
51160,41305,51270,41415
51160,41760,51270,41870
51165,41415,51275,41525
51190,41075,51300,41185
51200,38885,51310,38995
51225,41185,51335,41295
51235,39220,51345,39330
51255,40060,51365,40170
51255,40960,51365,41070
51265,38695,51375,38805
51270,41295,51380,41405
51275,41405,51385,41515
51280,40475,51390,40585
51285,42685,51395,42795
51300,39935,51410,40045
51300,41070,51410,41180
51315,39060,51425,39170
51320,40830,51430,40940
51320,41795,51430,41905
51330,42375,51440,42485
51335,41180,51445,41290
51345,39220,51455,39330
51350,39815,51460,39925
51365,40940,51475,41050
51395,38930,51505,39040
51395,42650,51505,42760
51410,41050,51520,41160
51425,39040,51535,39150
51430,40785,51540,40895
51460,41615,51570,41725
51475,40895,51585,41005
51500,41335,51610,41445
51530,42245,51640,42355
51540,41215,51650,41325
51545,43235,51655,43345
51555,39295,51665,39405
51555,40650,51665,40760
51565,40415,51675,40525
51590,41090,51700,41200
51605,42805,51715,42915
51615,39450,51725,39560
51615,42530,51725,42640
51630,40970,51740,41080
51645,40270,51755,40380
51650,41200,51760,41310
51655,41440,51765,41550
51690,42360,51800,42470
51700,39830,51810,39940
51700,41080,51810,41190
51700,42915,51810,43025
51710,40160,51820,40270
51740,40955,51850,41065
51775,40050,51885,40160
51780,40550,51890,40660
51800,42290,51910,42400
51810,41065,51920,41175
51855,41935,51965,42045
51875,40440,51985,40550
51900,40215,52010,40325
51915,39490,52025,39600
51920,40965,52030,41075
51945,40090,52055,40200
52015,36440,52125,36550
52015,39890,52125,40000
52025,37155,52135,37265
52035,37285,52145,37395
52055,40050,52165,40160
52130,36350,52240,36460
52150,36825,52260,36935
52150,37085,52260,37195
52150,39530,52260,39640
