y_1,x_1,y_2,x_2
1135,4413,1172,4449
1159,4493,1195,4529
1175,4456,1212,4493
1195,4536,1232,4573
1202,4493,1239,4529
1245,4423,1282,4459
1245,4539,1282,4576
1259,4459,1295,4496
1262,4496,1299,4533
1282,4533,1319,4569
1285,4569,1322,4606
1295,4443,1332,4479
1299,4479,1335,4516
1319,4516,1355,4553
1322,4553,1359,4589
1335,4589,1372,4626
1359,4526,1395,4563
1389,4593,1425,4629
1395,4506,1432,4543
1395,4543,1432,4579
1449,4649,1485,4686
1449,4686,1485,4723
1452,5279,1489,5316
1455,5316,1492,5353
1465,4723,1502,4759
1485,4663,1522,4699
1485,4986,1522,5023
1485,5229,1522,5266
1489,5266,1525,5303
1502,4699,1539,4736
1519,4736,1555,4773
1522,4979,1559,5016
1522,5016,1559,5053
1529,5053,1565,5089
1529,5089,1565,5126
1545,4773,1582,4809
1552,4883,1589,4919
1555,4919,1592,4956
1559,4999,1595,5036
1565,4519,1602,4556
1565,5036,1602,5073
1565,5073,1602,5109
1582,4603,1619,4639
1585,4556,1622,4593
1585,5939,1622,5976
1602,4489,1639,4526
1602,5079,1639,5116
1619,4593,1655,4629
1619,4629,1655,4666
1622,4526,1659,4563
1625,5973,1662,6009
1629,5183,1665,5219
1645,4433,1682,4469
1649,5796,1685,5833
1655,4563,1692,4599
1665,5213,1702,5249
1665,5946,1702,5983
1669,4469,1705,4506
1685,5783,1722,5819
1692,4556,1729,4593
1692,5819,1729,5856
1702,5933,1739,5969
1705,4459,1742,4496
1705,4496,1742,4533
1729,5803,1765,5839
1732,4533,1769,4569
1739,5913,1775,5949
1742,4469,1779,4506
1769,4506,1805,4543
1769,4543,1805,4579
1799,4746,1835,4783
1802,4783,1839,4819
1802,4819,1839,4856
1815,4906,1852,4943
1825,4519,1862,4556
1829,4463,1865,4499
1829,4943,1865,4979
1835,4709,1872,4746
1835,4746,1872,4783
1839,4783,1875,4819
1839,4819,1875,4856
1845,5389,1882,5426
1859,5699,1895,5736
1862,4516,1899,4553
1865,4473,1902,4509
1865,5026,1902,5063
1872,5656,1909,5693
1882,4433,1919,4469
1882,5316,1919,5353
1885,4989,1922,5026
1895,2726,1932,2763
1899,2763,1935,2799
1899,4843,1935,4879
1905,4486,1942,4523
1909,5123,1945,5159
1909,5376,1945,5413
1909,5589,1945,5626
1922,2323,1959,2359
1922,4646,1959,4683
1925,4429,1962,4466
1925,5159,1962,5196
1925,5509,1962,5546
1925,5633,1962,5669
1929,5413,1965,5449
1935,2359,1972,2396
1935,2739,1972,2776
1942,4466,1979,4503
1945,2829,1982,2866
1945,5363,1982,5399
1945,5449,1982,5486
1945,5553,1982,5589
1949,5256,1985,5293
1952,4503,1989,4539
1952,5906,1989,5943
1955,4973,1992,5009
1959,2309,1995,2346
1962,5486,1999,5523
1965,5009,2002,5046
1965,5596,2002,5633
1972,2346,2009,2383
1972,2383,2009,2419
1975,4553,2012,4589
1975,5326,2012,5363
1979,4436,2015,4473
1982,2806,2019,2843
1982,5179,2019,5216
1982,5216,2019,5253
1982,5363,2019,5399
1982,5523,2019,5559
1985,4283,2022,4319
1985,4866,2022,4903
1985,5253,2022,5289
1985,5289,2022,5326
1989,5399,2025,5436
1989,5633,2025,5669
1995,2909,2032,2946
1995,5436,2032,5473
1999,4829,2035,4866
1999,5559,2035,5596
2002,5096,2039,5133
2005,4513,2042,4549
2009,2349,2045,2386
2009,2386,2045,2423
2009,4473,2045,4509
2009,5596,2045,5633
2012,5326,2049,5363
2015,4319,2052,4356
2015,4433,2052,4469
2019,2783,2055,2819
2019,5486,2055,5523
2019,5849,2055,5886
2022,2946,2059,2983
2022,4276,2059,4313
2022,4746,2059,4783
2022,5269,2059,5306
2025,2633,2062,2669
2025,5383,2062,5419
2029,2423,2065,2459
2032,2873,2069,2909
2032,2909,2069,2946
2035,4706,2072,4743
2039,4973,2075,5009
2039,5419,2075,5456
2039,5523,2075,5559
2039,6153,2075,6189
2045,2356,2082,2393
2045,3083,2082,3119
2045,4073,2082,4109
2045,4229,2082,4266
2045,4666,2082,4703
2049,5323,2085,5359
2052,4193,2089,4229
2055,3033,2092,3069
2055,4356,2092,4393
2059,2946,2095,2983
2062,4886,2099,4923
2062,5359,2099,5396
2065,4013,2102,4049
2065,5473,2102,5509
2069,2836,2105,2873
2069,2873,2105,2909
2069,2909,2105,2946
2069,4156,2105,4193
2069,4306,2105,4343
2075,5396,2112,5433
2079,2733,2115,2769
2079,3939,2115,3976
2082,2346,2119,2383
2082,3216,2119,3253
2082,4816,2119,4853
2085,4246,2122,4283
2085,4546,2122,4583
2089,2696,2125,2733
2089,3139,2125,3176
2089,3176,2125,3213
2089,5063,2125,5099
2089,5773,2125,5809
2092,3039,2129,3076
2092,4093,2129,4129
2092,5539,2129,5576
2095,2946,2132,2983
2095,4049,2132,4086
2095,4773,2132,4809
2095,5219,2132,5256
2099,2983,2135,3019
2099,4506,2135,4543
2105,2883,2142,2919
2105,3513,2142,3549
2105,4199,2142,4236
2105,4736,2142,4773
2109,3339,2145,3376
2109,4453,2145,4489
2112,3466,2149,3503
2112,5256,2149,5293
2112,5576,2149,5613
2115,2789,2152,2826
2115,3386,2152,3423
2115,3863,2152,3899
2115,3943,2152,3979
2115,4009,2152,4046
2115,4693,2152,4729
2119,2363,2155,2399
2119,3213,2155,3249
2119,4159,2155,4196
2119,4809,2155,4846
2122,3249,2159,3286
2122,4989,2159,5026
2125,3109,2162,3146
2125,3146,2162,3183
2125,4656,2162,4693
2129,3286,2165,3323
2129,4119,2165,4156
2129,4393,2165,4429
2129,5293,2165,5329
2132,2919,2169,2956
2132,4773,2169,4809
2132,5149,2169,5186
2135,2956,2172,2993
2139,4613,2175,4649
2142,2826,2179,2863
2142,4729,2179,4766
2145,3326,2182,3363
2145,3899,2182,3936
2145,4079,2182,4116
2149,3449,2185,3486
2149,4576,2185,4613
2149,5186,2185,5223
2152,2759,2189,2796
2152,4356,2189,4393
2152,4693,2189,4729
2155,3183,2192,3219
2155,3546,2192,3583
2155,4036,2192,4073
2159,3219,2195,3256
2159,4969,2195,5006
2162,3139,2199,3176
2162,4536,2199,4573
2162,4649,2199,4686
2165,3256,2202,3293
2165,5109,2202,5146
2169,2863,2205,2899
2169,4496,2205,4533
2169,4879,2205,4916
2169,5146,2205,5183
2172,4146,2209,4183
2175,3503,2212,3539
2175,3966,2212,4003
2175,4613,2212,4649
2179,2796,2215,2833
2182,3313,2219,3349
2182,4189,2219,4226
2182,6203,2219,6239
2185,4573,2222,4609
2185,4843,2222,4879
2185,5479,2222,5516
2189,3459,2225,3496
2189,4429,2225,4466
2189,5619,2225,5656
2192,3176,2229,3213
2195,3049,2232,3086
2195,3213,2232,3249
2199,4533,2235,4569
2199,5993,2235,6029
2202,3249,2239,3286
2202,3423,2239,3459
2202,5069,2239,5106
2202,5106,2239,5143
2205,2833,2242,2869
2205,3086,2242,3123
2205,4879,2242,4916
2205,5773,2242,5809
2209,3539,2245,3576
2209,4116,2245,4153
2215,2793,2252,2829
2215,4329,2252,4366
2215,4789,2252,4826
2219,3676,2255,3713
2219,4393,2255,4429
2219,5683,2255,5719
2222,4046,2259,4083
2222,4573,2259,4609
2222,4826,2259,4863
2225,4429,2262,4466
2225,5026,2262,5063
2225,5339,2262,5376
2225,5516,2262,5553
2229,3159,2265,3196
2229,3499,2265,3536
2229,3969,2265,4006
2232,4283,2269,4319
2235,2939,2272,2976
2235,5553,2272,5589
2235,6363,2272,6399
2239,2729,2275,2766
2239,3626,2275,3663
2242,3459,2279,3496
2242,4239,2279,4276
2242,4466,2279,4503
2242,6143,2279,6179
2245,4749,2282,4786
2245,5303,2282,5339
2245,6296,2282,6333
2249,2896,2285,2933
2252,3589,2289,3626
2252,3749,2289,3786
2252,4349,2289,4386
2252,5413,2289,5449
2255,4386,2292,4423
2255,5666,2292,5703
2259,4036,2295,4073
2259,4199,2295,4236
2262,3553,2299,3589
2262,4423,2299,4459
2262,5339,2299,5376
2265,2859,2302,2896
2265,2999,2302,3036
2265,3709,2302,3746
2265,4919,2302,4956
2265,5266,2302,5303
2269,3376,2305,3413
2269,4309,2305,4346
2272,4159,2309,4196
2272,5589,2309,5626
2272,6333,2309,6369
2275,3513,2312,3549
2275,5449,2312,5486
2279,3666,2315,3703
2279,4459,2315,4496
2279,4496,2315,4533
2279,6149,2315,6186
2279,6546,2315,6583
2282,5103,2319,5139
2282,5303,2319,5339
2282,6266,2319,6303
2285,2896,2322,2933
2285,4116,2322,4153
2285,4866,2322,4903
2285,5626,2322,5663
2289,2759,2325,2796
2289,3473,2325,3509
2289,4346,2325,4383
2289,5229,2325,5266
2292,4383,2329,4419
2295,6369,2332,6406
2299,3549,2335,3586
2299,4263,2335,4299
2299,4419,2335,4456
2299,5383,2335,5419
2299,5663,2335,5699
2302,2969,2339,3006
2302,3006,2339,3043
2302,5266,2339,5303
2302,6079,2339,6116
2305,4076,2342,4113
2305,4299,2342,4336
2309,3809,2345,3846
2309,4153,2345,4189
2309,5523,2345,5559
2309,6333,2345,6369
2309,6603,2345,6639
2312,3913,2349,3949
2312,5419,2349,5456
2315,4456,2352,4493
2315,4493,2352,4529
2315,6493,2352,6529
2319,3383,2355,3419
2319,5013,2355,5049
2319,5699,2355,5736
2319,6233,2355,6269
2319,6269,2355,6306
2319,6406,2355,6443
2322,4113,2359,4149
2325,3739,2362,3776
2325,4336,2362,4373
2325,5229,2362,5266
2329,3673,2365,3709
2329,4373,2365,4409
2329,4656,2365,4693
2332,3339,2369,3376
2332,3859,2369,3896
2332,4226,2369,4263
2332,5483,2369,5519
2332,6369,2369,6406
2335,3479,2372,3516
2335,4263,2372,4299
2335,4409,2372,4446
2335,4599,2372,4636
2335,5149,2372,5186
2335,5373,2372,5409
2335,6443,2372,6479
2339,2943,2375,2979
2339,2979,2375,3016
2339,5266,2375,5303
2342,4046,2379,4083
2342,4299,2379,4336
2345,3979,2382,4016
2345,5519,2382,5556
2345,6596,2382,6633
2349,2799,2385,2836
2349,5413,2385,5449
2349,5609,2385,5646
2349,5839,2385,5876
2349,6549,2385,6586
2352,3439,2389,3476
2352,3599,2389,3636
2352,4446,2389,4483
2355,4189,2392,4226
2355,5556,2392,5593
2355,6206,2392,6243
2355,6243,2392,6279
2355,6406,2392,6443
2359,4083,2395,4119
2359,4119,2395,4156
2359,4839,2395,4876
2359,4919,2395,4956
2362,3636,2399,3673
2362,3709,2399,3746
2362,3746,2399,3783
2362,4336,2399,4373
2362,5646,2399,5683
2365,3096,2402,3133
2365,3556,2402,3593
2365,3673,2402,3709
2365,4373,2402,4409
2369,4226,2405,4263
2369,4529,2405,4566
2369,4799,2405,4836
2369,5449,2405,5486
2369,5876,2405,5913
2369,6329,2405,6366
2372,4263,2409,4299
2372,4409,2409,4446
2372,5126,2409,5163
2372,5163,2409,5199
2372,5343,2409,5379
2372,6443,2409,6479
2379,3516,2415,3553
2379,4299,2415,4336
2379,4876,2415,4913
2382,3829,2419,3866
2382,3993,2419,4029
2382,5066,2419,5103
2382,5486,2419,5523
2382,6586,2419,6623
2385,2783,2422,2819
2385,4759,2422,4796
2385,5379,2422,5416
2385,5683,2422,5719
2385,5839,2422,5876
2385,6279,2422,6316
2389,6366,2425,6403
2392,3479,2429,3516
2392,4156,2429,4193
2392,5523,2429,5559
2392,5559,2429,5596
2392,6243,2429,6279
2395,4119,2432,4156
2395,4489,2432,4526
2395,4913,2432,4949
2399,3603,2435,3639
2399,4336,2435,4373
2399,4719,2435,4756
