y_1,x_1,y_2,x_2
344,1327,366,1349
348,1349,370,1371
401,1393,423,1415
422,1494,444,1516
437,1347,459,1369
441,1369,463,1391
483,1338,505,1360
506,1416,528,1438
543,1324,565,1346
544,688,566,710
550,1599,572,1621
556,1564,578,1586
566,701,588,723
570,861,592,883
592,867,614,889
592,936,614,958
594,1426,616,1448
600,1402,622,1424
602,958,624,980
604,828,626,850
607,1378,629,1400
614,1355,636,1377
624,1314,646,1336
637,1587,659,1609
644,1287,666,1309
645,1889,667,1911
646,1309,668,1331
646,1331,668,1353
651,1565,673,1587
652,1226,674,1248
662,1265,684,1287
662,1644,684,1666
666,1287,688,1309
666,1917,688,1939
669,1532,691,1554
669,1618,691,1640
670,1960,692,1982
678,1230,700,1252
679,1596,701,1618
684,1252,706,1274
684,1640,706,1662
685,1876,707,1898
688,1274,710,1296
688,1662,710,1684
691,1618,713,1640
692,1003,714,1025
692,1912,714,1934
696,1155,718,1177
698,2005,720,2027
700,1214,722,1236
704,1111,726,1133
706,1236,728,1258
706,1640,728,1662
706,2029,728,2051
708,1470,730,1492
709,1047,731,1069
710,1563,732,1585
710,1662,732,1684
713,1608,735,1630
714,1933,736,1955
715,1188,737,1210
718,1088,740,1110
722,1210,744,1232
722,1448,744,1470
723,1539,745,1561
725,1162,747,1184
728,1630,750,1652
731,1055,753,1077
732,1561,754,1583
732,1652,754,1674
733,1583,755,1605
738,1515,760,1537
740,1077,762,1099
745,1537,767,1559
747,1144,769,1166
751,1312,773,1334
751,1492,773,1514
753,1039,775,1061
754,1559,776,1581
755,1581,777,1603
756,1395,778,1417
757,1837,779,1859
760,1287,782,1309
760,1514,782,1536
763,1112,785,1134
764,1466,786,1488
764,1659,786,1681
766,1775,788,1797
767,1536,789,1558
769,1144,791,1166
770,1263,792,1285
773,1488,795,1510
779,1086,801,1108
779,1830,801,1852
782,1510,804,1532
785,1108,807,1130
786,1457,808,1479
792,1623,814,1645
795,1479,817,1501
800,1567,822,1589
806,1749,828,1771
808,1543,830,1565
809,1947,831,1969
811,1159,833,1181
811,1430,833,1452
813,1383,835,1405
818,1518,840,1540
821,1861,843,1883
823,1190,845,1212
823,1806,845,1828
826,1494,848,1516
829,1354,851,1376
830,1540,852,1562
831,1588,853,1610
838,1772,860,1794
840,1266,862,1288
840,1516,862,1538
840,1883,862,1905
842,1332,864,1354
848,1491,870,1513
855,1310,877,1332
856,1410,878,1432
860,1758,882,1780
862,1513,884,1535
871,1687,893,1709
875,1388,897,1410
880,1343,902,1365
883,1198,905,1220
884,1493,906,1515
889,1318,911,1340
903,588,925,610
903,1278,925,1300
905,731,927,753
907,757,929,779
911,1310,933,1332
926,570,948,592
930,665,952,687
930,717,952,739
930,1206,952,1228
937,1341,959,1363
944,465,966,487
947,1170,969,1192
948,558,970,580
954,646,976,668
969,1838,991,1860
992,1964,1014,1986
1003,674,1025,696
1011,1907,1033,1929
1020,279,1042,301
1020,1930,1042,1952
1042,1926,1064,1948
1046,610,1068,632
1058,565,1080,587
1064,1905,1086,1927
1080,546,1102,568
1089,1928,1111,1950
1099,1960,1121,1982
1104,1690,1126,1712
1108,1723,1130,1745
1126,1685,1148,1707
1130,1946,1152,1968
1179,1997,1201,2019
1191,2044,1213,2066
1195,1897,1217,1919
1201,1998,1223,2020
1205,2206,1227,2228
1237,2220,1259,2242
1253,144,1275,166
1259,2200,1281,2222
1283,175,1305,197
1290,197,1312,219
1300,2145,1322,2167
1300,2217,1322,2239
1302,2092,1324,2114
1303,2177,1325,2199
1312,210,1334,232
1333,2143,1355,2165
1338,2088,1360,2110
1360,2106,1382,2128
1362,1973,1384,1995
1365,2170,1387,2192
1373,2128,1395,2150
1383,1910,1405,1932
1388,2101,1410,2123
1394,2046,1416,2068
1395,2123,1417,2145
1402,1849,1424,1871
1409,1936,1431,1958
1410,2087,1432,2109
1416,2040,1438,2062
1416,2062,1438,2084
1417,2113,1439,2135
1417,2135,1439,2157
1432,2084,1454,2106
1435,2169,1457,2191
1441,810,1463,832
1444,832,1466,854
1448,854,1470,876
1449,1813,1471,1835
1462,921,1484,943
1462,2095,1484,2117
1466,943,1488,965
1466,2168,1488,2190
1468,776,1490,798
1471,1795,1493,1817
1472,1743,1494,1765
1474,1695,1496,1717
1477,798,1499,820
1483,820,1505,842
1484,2079,1506,2101
1484,2127,1506,2149
1488,938,1510,960
1491,842,1513,864
1493,1778,1515,1800
1496,864,1518,886
1496,2019,1518,2041
1497,1019,1519,1041
1513,838,1535,860
1514,1664,1536,1686
1515,2100,1537,2122
1516,2194,1538,2216
1518,2000,1540,2022
1522,1703,1544,1725
1524,783,1546,805
1524,2047,1546,2069
1525,946,1547,968
1534,805,1556,827
1536,980,1558,1002
1543,1002,1565,1024
1546,1740,1568,1762
1546,2031,1568,2053
1547,930,1569,952
1547,952,1569,974
1548,1636,1570,1658
1549,1024,1571,1046
1559,2361,1581,2383
1560,1966,1582,1988
1563,2223,1585,2245
1565,986,1587,1008
1567,867,1589,889
1569,948,1591,970
1571,1008,1593,1030
1571,1030,1593,1052
1575,1760,1597,1782
1586,2182,1608,2204
1587,1668,1609,1690
1590,2092,1612,2114
1595,2122,1617,2144
1598,1614,1620,1636
1604,940,1626,962
1604,2204,1626,2226
1605,2412,1627,2434
