y_1,x_1,y_2,x_2
225,5733,262,5769
235,5689,272,5726
235,5769,272,5806
239,5446,275,5483
245,5483,282,5519
255,5806,292,5843
262,5519,299,5556
262,5843,299,5879
269,5879,305,5916
275,5429,312,5466
279,5273,315,5309
282,5336,319,5373
282,5466,319,5503
285,5373,322,5409
285,5556,322,5593
289,5229,325,5266
299,5503,335,5539
305,5193,342,5229
305,5856,342,5893
305,5893,342,5929
312,5409,349,5446
315,5266,352,5303
319,5303,355,5339
319,5446,355,5483
322,5339,359,5376
322,5539,359,5576
325,5229,362,5266
335,5496,372,5533
339,5819,375,5856
342,5856,379,5893
349,5376,385,5413
355,5269,392,5306
355,5413,392,5449
369,5093,405,5129
372,6026,409,6063
375,5816,412,5853
379,5853,415,5889
395,5779,432,5816
405,5579,442,5616
409,5616,445,5653
409,5653,445,5689
409,5993,445,6029
409,6029,445,6066
412,5816,449,5853
415,5489,452,5526
432,5779,469,5816
435,6066,472,6103
439,5526,475,5563
442,5579,479,5616
442,5689,479,5726
445,5616,482,5653
445,5653,482,5689
445,5726,482,5763
445,5956,482,5993
445,5993,482,6029
445,6029,482,6066
452,5469,489,5506
472,6066,509,6103
475,5529,512,5566
479,5566,515,5603
482,5926,519,5963
482,5963,519,5999
482,5999,519,6036
485,6103,522,6139
509,6036,545,6073
515,5876,552,5913
519,5919,555,5956
519,5956,555,5993
519,5993,555,6029
522,6073,559,6109
525,6319,562,6356
529,6426,565,6463
535,5483,572,5519
535,5709,572,5746
535,6189,572,6226
539,5383,575,5419
539,6226,575,6263
549,6379,585,6416
552,6463,589,6499
555,5949,592,5986
555,5986,592,6023
559,5786,595,5823
559,6066,595,6103
562,5429,599,5466
562,5746,599,5783
562,6313,599,6349
565,5279,602,5316
565,6416,602,6453
569,5839,605,5876
572,5243,609,5279
572,5696,609,5733
572,6186,609,6223
572,6499,609,6536
575,5376,612,5413
575,6223,612,6259
575,6259,612,6296
582,5876,619,5913
585,5323,622,5359
585,6349,622,6386
589,5913,625,5949
589,6453,625,6489
589,6536,625,6573
592,5949,629,5986
592,5986,629,6023
595,5783,632,5819
595,6023,632,6059
595,6059,632,6096
595,6096,632,6133
599,5413,635,5449
599,5733,635,5769
602,6386,639,6423
605,5819,642,5856
609,5229,645,5266
609,6163,645,6199
609,6489,645,6526
612,5169,649,5206
612,6199,649,6236
612,6259,649,6296
612,6573,649,6609
619,5856,655,5893
622,6333,659,6369
625,6423,662,6459
625,6526,662,6563
629,5926,665,5963
629,5963,665,5999
632,5999,669,6036
632,6036,669,6073
632,6073,669,6109
639,5116,675,5153
639,6369,675,6406
645,5206,682,5243
645,5243,682,5279
645,6143,682,6179
645,6459,682,6496
649,5153,685,5189
649,5279,685,5316
649,5316,685,5353
649,6563,685,6599
659,6306,695,6343
662,6406,699,6443
662,6496,699,6533
665,5939,702,5976
669,5976,705,6013
669,6013,705,6049
669,6049,705,6086
672,6086,709,6123
675,5086,712,5123
675,6343,712,6379
682,5189,719,5226
682,5226,719,5263
682,6123,719,6159
682,6443,719,6479
685,5123,722,5159
685,5263,722,5299
685,5299,722,5336
685,6533,722,6569
685,6569,722,6606
692,6159,729,6196
695,6303,732,6339
699,6379,735,6416
699,6479,735,6516
702,5916,739,5953
705,5953,742,5989
705,5989,742,6026
705,6026,742,6063
705,6196,742,6233
709,6063,745,6099
709,6249,745,6286
712,6339,749,6376
719,5159,755,5196
719,5196,755,5233
719,6099,755,6136
719,6416,755,6453
722,5096,759,5133
722,5233,759,5269
722,5269,759,5306
722,6516,759,6553
725,5729,762,5766
729,5426,765,5463
729,6136,765,6173
732,6286,769,6323
735,4899,772,4936
735,6376,772,6413
735,6453,772,6489
739,5899,775,5936
742,5056,779,5093
742,5936,779,5973
742,5973,779,6009
742,6009,779,6046
742,6173,779,6209
742,6209,779,6246
745,6046,782,6083
745,6246,782,6283
749,4689,785,4726
749,6323,785,6359
755,5133,792,5169
755,5169,792,5206
755,6083,792,6119
755,6413,792,6449
759,5093,795,5129
759,5206,795,5243
759,5243,795,5279
759,5359,795,5396
759,6489,795,6526
759,6526,795,6563
762,5733,799,5769
765,6119,802,6156
769,4726,805,4763
769,6283,805,6319
772,6359,809,6396
772,6449,809,6486
775,5769,812,5806
775,5869,812,5906
779,5906,815,5943
779,5943,815,5979
779,5979,815,6016
779,6156,815,6193
779,6193,815,6229
782,4563,819,4599
782,6016,819,6053
782,6229,819,6266
785,4523,822,4559
785,6319,822,6356
792,5129,829,5166
792,6053,829,6089
792,6396,829,6433
795,6486,832,6523
795,6523,832,6559
799,5726,835,5763
802,6089,839,6126
805,4473,842,4509
805,6266,842,6303
809,6356,845,6393
809,6433,845,6469
812,4673,849,4709
812,5849,849,5886
815,5886,852,5923
815,5923,852,5959
815,5959,852,5996
815,6126,852,6163
815,6163,852,6199
819,4559,855,4596
819,4596,855,4633
819,5996,855,6033
819,6199,855,6236
822,4509,859,4546
822,6303,859,6339
829,5333,865,5369
829,6033,865,6069
829,6393,865,6429
832,6469,869,6506
832,6506,869,6543
832,6543,869,6579
835,5666,872,5703
835,5716,872,5753
839,6069,875,6106
842,6236,879,6273
845,5369,882,5406
845,6339,882,6376
845,6429,882,6466
852,5943,889,5979
852,6106,889,6143
852,6143,889,6179
855,4569,892,4606
855,4606,892,4643
855,5979,892,6016
855,6179,892,6216
859,6273,895,6309
865,6016,902,6053
865,6376,902,6413
869,6466,905,6503
869,6503,905,6539
872,5633,909,5669
872,5669,909,5706
872,5706,909,5743
875,4643,912,4679
875,5329,912,5366
875,5406,912,5443
875,5743,912,5779
875,6053,912,6089
879,5786,915,5823
879,6216,915,6253
882,5366,919,5403
882,6309,919,6346
882,6413,919,6449
885,5896,922,5933
889,5933,925,5969
889,6089,925,6126
889,6126,925,6163
892,4563,929,4599
892,4599,929,4636
892,5969,929,6006
892,6163,929,6199
895,6253,932,6289
902,5829,939,5866
902,6006,939,6043
902,6346,939,6383
905,4443,942,4479
905,6449,942,6486
909,5599,945,5636
909,5636,945,5673
909,5673,945,5709
912,5306,949,5343
912,5709,949,5746
912,5746,949,5783
912,6043,949,6079
915,5549,952,5586
915,5783,952,5819
915,6199,952,6236
919,5343,955,5379
919,5379,955,5416
919,6289,955,6326
919,6383,955,6419
922,5866,959,5903
925,4296,962,4333
925,4379,962,4416
925,5903,962,5939
925,6079,962,6116
925,6116,962,6153
