y_1,x_1,y_2,x_2
33,1714,44,1725
36,1701,47,1712
36,1725,47,1736
37,1628,48,1639
39,1639,50,1650
42,1736,53,1747
44,1650,55,1661
44,1747,55,1758
46,1758,57,1769
48,1623,59,1634
49,1576,60,1587
50,1595,61,1606
50,1634,61,1645
51,1606,62,1617
51,1661,62,1672
52,1563,63,1574
55,1645,66,1656
57,1552,68,1563
57,1751,68,1762
57,1762,68,1773
59,1617,70,1628
60,1574,71,1585
61,1585,72,1596
61,1628,72,1639
62,1596,73,1607
62,1656,73,1667
63,1563,74,1574
66,1643,77,1654
67,1740,78,1751
68,1751,79,1762
70,1607,81,1618
72,1575,83,1586
72,1618,83,1629
76,1522,87,1533
77,1802,88,1813
78,1739,89,1750
79,1750,90,1761
84,1728,95,1739
87,1668,98,1679
88,1679,99,1690
88,1690,99,1701
88,1792,99,1803
88,1803,99,1814
89,1739,100,1750
90,1641,101,1652
95,1728,106,1739
96,1814,107,1825
97,1652,108,1663
98,1668,109,1679
98,1701,109,1712
99,1679,110,1690
99,1690,110,1701
99,1712,110,1723
99,1781,110,1792
99,1792,110,1803
99,1803,110,1814
101,1635,112,1646
107,1814,118,1825
108,1653,119,1664
109,1664,120,1675
110,1772,121,1783
110,1783,121,1794
110,1794,121,1805
111,1825,122,1836
118,1805,129,1816
120,1757,131,1768
121,1770,132,1781
121,1781,132,1792
121,1792,132,1803
122,1816,133,1827
123,1890,134,1901
124,1922,135,1933
126,1639,137,1650
126,1707,137,1718
126,1851,137,1862
127,1609,138,1620
127,1862,138,1873
130,1908,141,1919
131,1933,142,1944
132,1779,143,1790
132,1790,143,1801
133,1730,144,1741
133,1814,144,1825
134,1623,145,1634
134,1718,145,1729
134,1888,145,1899
135,1578,146,1589
135,1919,146,1930
136,1746,147,1757
137,1567,148,1578
137,1703,148,1714
137,1850,148,1861
137,1944,148,1955
138,1607,149,1618
138,1861,149,1872
138,1872,149,1883
140,1757,151,1768
141,1591,152,1602
141,1899,152,1910
142,1768,153,1779
142,1930,153,1941
142,1955,153,1966
143,1779,154,1790
143,1790,154,1801
144,1729,155,1740
144,1801,155,1812
144,1812,155,1823
144,1823,155,1834
145,1618,156,1629
145,1714,156,1725
146,1910,157,1921
147,1740,158,1751
148,1563,159,1574
148,1843,159,1854
148,1941,159,1952
149,1545,160,1556
149,1854,160,1865
149,1872,160,1883
149,1966,160,1977
151,1751,162,1762
152,1894,163,1905
153,1921,164,1932
153,1952,164,1963
154,1772,165,1783
154,1783,165,1794
155,1794,166,1805
155,1805,166,1816
155,1816,166,1827
157,1529,168,1540
157,1905,168,1916
159,1556,170,1567
159,1567,170,1578
159,1837,170,1848
159,1932,170,1943
160,1540,171,1551
160,1578,171,1589
160,1589,171,1600
160,1963,171,1974
163,1886,174,1897
164,1916,175,1927
164,1943,175,1954
165,1776,176,1787
166,1787,177,1798
166,1798,177,1809
166,1809,177,1820
167,1820,178,1831
168,1520,179,1531
168,1897,179,1908
170,1551,181,1562
170,1562,181,1573
170,1831,181,1842
170,1927,181,1938
171,1531,182,1542
171,1573,182,1584
171,1584,182,1595
171,1954,182,1965
171,1965,182,1976
173,1842,184,1853
174,1885,185,1896
175,1908,186,1919
175,1938,186,1949
176,1769,187,1780
177,1780,188,1791
177,1791,188,1802
177,1802,188,1813
177,1853,188,1864
178,1813,189,1824
178,1869,189,1880
179,1896,190,1907
181,1542,192,1553
181,1553,192,1564
181,1824,192,1835
181,1919,192,1930
182,1523,193,1534
182,1564,193,1575
182,1575,193,1586
182,1949,193,1960
183,1713,194,1724
184,1622,195,1633
184,1835,195,1846
185,1880,196,1891
186,1464,197,1475
186,1907,197,1918
186,1930,197,1941
187,1764,198,1775
188,1511,199,1522
188,1775,199,1786
188,1786,199,1797
188,1797,199,1808
188,1846,199,1857
188,1857,199,1868
189,1808,200,1819
189,1868,200,1879
190,1401,201,1412
190,1891,201,1902
192,1534,203,1545
192,1545,203,1556
192,1819,203,1830
192,1918,203,1929
193,1522,204,1533
193,1556,204,1567
193,1567,204,1578
193,1602,204,1613
193,1941,204,1952
193,1952,204,1963
194,1714,205,1725
195,1830,206,1841
196,1412,207,1423
196,1879,207,1890
197,1902,208,1913
197,1929,208,1940
198,1725,209,1736
198,1755,209,1766
199,1766,210,1777
199,1777,210,1788
199,1788,210,1799
199,1841,210,1852
199,1852,210,1863
200,1363,211,1374
200,1799,211,1810
200,1863,211,1874
201,1351,212,1362
201,1890,212,1901
203,1533,214,1544
203,1810,214,1821
203,1913,214,1924
204,1940,215,1951
204,1951,215,1962
205,1712,216,1723
206,1821,217,1832
207,1336,218,1347
207,1874,218,1885
208,1901,219,1912
208,1924,219,1935
209,1396,220,1407
209,1749,220,1760
210,1760,221,1771
210,1771,221,1782
210,1782,221,1793
210,1832,221,1843
210,1843,221,1854
211,1362,222,1373
211,1373,222,1384
211,1793,222,1804
211,1854,222,1865
212,1347,223,1358
212,1885,223,1896
214,1594,225,1605
214,1804,225,1815
