y_1,x_1,y_2,x_2
385,5713,422,5749
542,5166,579,5203
615,5623,652,5659
685,5799,722,5836
695,5629,732,5666
695,5836,732,5873
729,5569,765,5606
732,5626,769,5663
759,5663,795,5699
769,5613,805,5649
805,5599,842,5636
829,5446,865,5483
849,4919,885,4956
859,5229,895,5266
879,4999,915,5036
882,5513,919,5549
885,5076,922,5113
895,5219,932,5256
895,7469,932,7506
922,5053,959,5089
929,5016,965,5053
932,5226,969,5263
935,5089,972,5126
935,7589,972,7626
939,5126,975,5163
945,5263,982,5299
959,5053,995,5089
965,5013,1002,5049
972,5089,1009,5126
972,7626,1009,7663
975,5126,1012,5163
982,5249,1019,5286
992,4753,1029,4789
995,5049,1032,5086
1002,4986,1039,5023
1009,5086,1045,5123
1025,4789,1062,4826
1032,5023,1069,5059
1045,4926,1082,4963
1045,5059,1082,5096
1049,5199,1085,5236
1055,7596,1092,7633
1069,5013,1105,5049
1075,7489,1112,7526
1082,4926,1119,4963
1082,5049,1119,5086
1085,5166,1122,5203
1085,5203,1122,5239
1085,7526,1122,7563
1092,7439,1129,7476
1095,4963,1132,4999
1095,5239,1132,5276
1099,4846,1135,4883
1105,4419,1142,4456
1105,4999,1142,5036
1112,4883,1149,4919
1115,5276,1152,5313
1119,4919,1155,4956
1119,5036,1155,5073
1119,5073,1155,5109
1122,5176,1159,5213
1122,7509,1159,7546
1125,4456,1162,4493
1132,4956,1169,4993
1132,5213,1169,5249
1135,4829,1172,4866
1142,4413,1179,4449
1142,4993,1179,5029
1149,4866,1185,4903
1155,4903,1192,4939
1155,5029,1192,5066
1155,5066,1192,5103
1159,4493,1195,4529
1159,5103,1195,5139
1159,7513,1195,7549
1162,4449,1199,4486
1169,4939,1205,4976
1172,4819,1209,4856
1175,4639,1212,4676
1179,4976,1215,5013
1182,4529,1219,4566
1185,4856,1222,4893
1189,4069,1225,4106
1192,5013,1229,5049
1192,5049,1229,5086
1195,4486,1232,4523
1195,5086,1232,5123
1195,7496,1232,7533
1195,7533,1232,7569
1205,4933,1242,4969
1215,4969,1252,5006
1219,4523,1255,4559
1229,5006,1265,5043
1229,5043,1265,5079
1229,7459,1265,7496
1232,7496,1269,7533
1232,7533,1269,7569
1242,4416,1279,4453
1245,4453,1282,4489
1245,4899,1282,4936
1252,4936,1289,4973
1255,4489,1292,4526
1255,4526,1292,4563
1265,4973,1302,5009
1265,5009,1302,5046
1265,7443,1302,7479
1269,4563,1305,4599
1269,7479,1305,7516
1279,4409,1315,4446
1282,4446,1319,4483
1292,4483,1329,4519
1292,4519,1329,4556
1295,4183,1332,4219
1302,4953,1339,4989
1302,4989,1339,5026
1302,5026,1339,5063
1305,4556,1342,4593
1305,7446,1342,7483
1319,3763,1355,3799
1319,7339,1355,7376
1329,4489,1365,4526
1332,4166,1369,4203
1335,4593,1372,4629
1342,4526,1379,4563
1342,7436,1379,7473
1345,5989,1382,6026
1349,6026,1385,6063
1355,3743,1392,3779
1355,7339,1392,7376
1359,5646,1395,5683
1362,6063,1399,6099
1365,5589,1402,5626
1372,4563,1409,4599
1372,4599,1409,4636
1375,7473,1412,7509
1379,4506,1415,4543
1379,4636,1415,4673
