y_1,x_1,y_2,x_2
81,1708,92,1719
128,1544,139,1555
150,1681,161,1692
171,1734,182,1745
174,1683,185,1694
174,1745,185,1756
184,1665,195,1676
185,1682,196,1693
193,1693,204,1704
196,1678,207,1689
207,1674,218,1685
214,1628,225,1639
220,1470,231,1481
223,1563,234,1574
229,1494,240,1505
230,1648,241,1659
231,1517,242,1528
234,1560,245,1571
234,2235,245,2246
242,1510,253,1521
244,1499,255,1510
245,1562,256,1573
246,1521,257,1532
246,2271,257,2282
247,1532,258,1543
249,1573,260,1584
253,1510,264,1521
255,1498,266,1509
257,1521,268,1532
257,2282,268,2293
258,1532,269,1543
260,1569,271,1580
263,1420,274,1431
264,1509,275,1520
266,1490,277,1501
268,1520,279,1531
273,1431,284,1442
275,1501,286,1512
279,1472,290,1483
279,1512,290,1523
280,1554,291,1565
282,2273,293,2284
286,1498,297,1509
288,2241,299,2252
290,1472,301,1483
290,1509,301,1520
291,1544,302,1555
291,1555,302,1566
291,2252,302,2263
293,2226,304,2237
294,1483,305,1494
294,1566,305,1577
295,1448,306,1459
297,1320,308,1331
297,1494,308,1505
299,1459,310,1470
300,1577,311,1588
301,1470,312,1481
301,1505,312,1516
301,1516,312,1527
302,1547,313,1558
302,2247,313,2258
303,1331,314,1342
305,1481,316,1492
305,1558,316,1569
306,1443,317,1454
308,1318,319,1329
308,1492,319,1503
310,1454,321,1465
312,1465,323,1476
312,1503,323,1514
312,1514,323,1525
313,1342,324,1353
313,1525,324,1536
313,2248,324,2259
314,1329,325,1340
316,1476,327,1487
317,1440,328,1451
318,1386,329,1397
319,1487,330,1498
320,1353,331,1364
321,1451,332,1462
322,1215,333,1226
323,1498,334,1509
323,1509,334,1520
324,1340,335,1351
324,1520,335,1531
324,2243,335,2254
324,2254,335,2265
327,1474,338,1485
330,1485,341,1496
331,1351,342,1362
334,1496,345,1507
334,1507,345,1518
334,2232,345,2243
335,2243,346,2254
335,2254,346,2265
338,1319,349,1330
339,1330,350,1341
339,1464,350,1475
341,1475,352,1486
342,1341,353,1352
342,1352,353,1363
345,1486,356,1497
345,1497,356,1508
345,2227,356,2238
346,1363,357,1374
346,2238,357,2249
349,1317,360,1328
350,1328,361,1339
353,1339,364,1350
353,1350,364,1361
354,1249,365,1260
356,1480,367,1491
356,1491,367,1502
356,1502,367,1513
357,1361,368,1372
357,2228,368,2239
361,1123,372,1134
361,2196,372,2207
364,1341,375,1352
365,1244,376,1255
366,1372,377,1383
368,1352,379,1363
368,2225,379,2236
369,1791,380,1802
370,1802,381,1813
372,1117,383,1128
372,2196,383,2207
373,1688,384,1699
374,1813,385,1824
375,1671,386,1682
377,1363,388,1374
377,1374,388,1385
378,2236,389,2247
379,1346,390,1357
379,1385,390,1396
379,2224,390,2235
380,1790,391,1801
381,1801,392,1812
383,1111,394,1122
383,2196,394,2207
386,1665,397,1676
386,2184,397,2195
388,1357,399,1368
389,2235,400,2246
390,2218,401,2229
391,1790,402,1801
391,1997,402,2008
391,2154,402,2165
392,1651,403,1662
392,1801,403,1812
394,2195,405,2206
395,1428,406,1439
396,1676,407,1687
397,1397,408,1408
397,1662,408,1673
398,2206,409,2217
399,2246,410,2257
400,2229,411,2240
401,1578,412,1589
401,2217,412,2228
402,1385,413,1396
402,1408,413,1419
402,1589,413,1600
402,1997,413,2008
402,2150,413,2161
403,1648,414,1659
403,1796,414,1807
403,2008,414,2019
405,2191,416,2202
406,1424,417,1435
408,1299,419,1310
408,1396,419,1407
408,1488,419,1499
408,1659,419,1670
409,1322,420,1333
409,1563,420,1574
409,2202,420,2213
410,2240,421,2251
411,2228,422,2239
411,2251,422,2262
412,1574,423,1585
412,2213,423,2224
413,1407,424,1418
413,2145,424,2156
413,2176,424,2187
414,1999,425,2010
416,1499,427,1510
416,1510,427,1521
416,2187,427,2198
417,1418,428,1429
417,1454,428,1465
419,1289,430,1300
419,1300,430,1311
419,1484,430,1495
420,1318,431,1329
420,2198,431,2209
421,2239,432,2250
422,2224,433,2235
422,2250,433,2261
423,1521,434,1532
423,2209,434,2220
424,1402,435,1413
424,1470,435,1481
427,1495,438,1506
427,1506,438,1517
428,1413,439,1424
428,1424,439,1435
428,1449,439,1460
430,1481,441,1492
432,1351,443,1362
432,1435,443,1446
432,2235,443,2246
433,2220,444,2231
434,1517,445,1528
434,2172,445,2183
434,2199,445,2210
435,1401,446,1412
435,1460,446,1471
438,1362,449,1373
438,1373,449,1384
438,1492,449,1503
438,1503,449,1514
438,2254,449,2265
439,1384,450,1395
439,1412,450,1423
439,1423,450,1434
439,1446,450,1457
440,1528,451,1539
440,1775,451,1786
441,1471,452,1482
443,1341,454,1352
443,1434,454,1445
443,1711,454,1722
445,1514,456,1525
445,2171,456,2182
446,1457,457,1468
449,1352,460,1363
449,1363,460,1374
449,1482,460,1493
449,1493,460,1504
450,1374,461,1385
450,1385,461,1396
450,1406,461,1417
450,1419,461,1430
450,1445,461,1456
451,1525,462,1536
452,1468,463,1479
452,1550,463,1561
453,1786,464,1797
454,1430,465,1441
455,1959,466,1970
456,1504,467,1515
456,2169,467,2180
457,1223,468,1234
457,1456,468,1467
458,1732,469,1743
459,1321,470,1332
460,1342,471,1353
460,1353,471,1364
460,1479,471,1490
460,1490,471,1501
461,1364,472,1375
461,1375,472,1386
461,1386,472,1397
461,1397,472,1408
461,1408,472,1419
461,1419,472,1430
461,1441,472,1452
461,1914,472,1925
462,1515,473,1526
462,1526,473,1537
462,1561,473,1572
463,1467,474,1478
464,2088,475,2099
465,1778,476,1789
467,1501,478,1512
467,2172,478,2183
468,1452,479,1463
469,1727,480,1738
469,1738,480,1749
470,1324,481,1335
470,1537,481,1548
471,1335,482,1346
471,1478,482,1489
471,1489,482,1500
472,1355,483,1366
472,1366,483,1377
472,1377,483,1388
472,1388,483,1399
472,1399,483,1410
472,1410,483,1421
472,1421,483,1432
472,1440,483,1451
473,1512,484,1523
473,1523,484,1534
473,1557,484,1568
473,1716,484,1727
474,1463,485,1474
475,2086,486,2097
476,1774,487,1785
478,1500,489,1511
478,2171,489,2182
479,1451,490,1462
480,1729,491,1740
481,1534,492,1545
481,1545,492,1556
482,1291,493,1302
482,1331,493,1342
482,1342,493,1353
482,1474,493,1485
482,1485,493,1496
482,2157,493,2168
483,1353,494,1364
483,1364,494,1375
483,1375,494,1386
483,1386,494,1397
483,1397,494,1408
483,1408,494,1419
483,1419,494,1430
483,1430,494,1441
484,1511,495,1522
484,1522,495,1533
484,1556,495,1567
485,1014,496,1025
485,1462,496,1473
487,974,498,985
487,1161,498,1172
487,1767,498,1778
487,1778,498,1789
489,1496,500,1507
489,2171,500,2182
490,1441,501,1452
490,1567,501,1578
492,1533,503,1544
492,1544,503,1555
493,1337,504,1348
493,1473,504,1484
493,1484,504,1495
494,1348,505,1359
494,1359,505,1370
494,1370,505,1381
494,1381,505,1392
494,1392,505,1403
494,1403,505,1414
494,1414,505,1425
494,1425,505,1436
495,1507,506,1518
495,1518,506,1529
495,1555,506,1566
496,1020,507,1031
496,1452,507,1463
496,1578,507,1589
499,1589,510,1600
500,1495,511,1506
500,2171,511,2182
501,1436,512,1447
501,1566,512,1577
502,2121,513,2132
503,1529,514,1540
503,1540,514,1551
503,1758,514,1769
504,1335,515,1346
504,1463,515,1474
504,1474,515,1485
504,1614,515,1625
505,1346,516,1357
505,1357,516,1368
505,1368,516,1379
505,1379,516,1390
505,1390,516,1401
505,1401,516,1412
505,1412,516,1423
505,1423,516,1434
506,1506,517,1517
506,1517,517,1528
506,1551,517,1562
507,1447,518,1458
507,1577,518,1588
507,2076,518,2087
509,1658,520,1669
509,1728,520,1739
510,1588,521,1599
511,1485,522,1496
512,1434,523,1445
512,1562,523,1573
514,1047,525,1058
514,1324,525,1335
514,1528,525,1539
514,1539,525,1550
515,1335,526,1346
515,1458,526,1469
515,1469,526,1480
515,1612,526,1623
516,787,527,798
516,1346,527,1357
516,1357,527,1368
516,1368,527,1379
516,1379,527,1390
516,1390,527,1401
516,1401,527,1412
516,1412,527,1423
516,1423,527,1434
517,798,528,809
517,1496,528,1507
517,1507,528,1518
517,1550,528,1561
517,2106,528,2117
518,1445,529,1456
518,1573,529,1584
518,2075,529,2086
520,1623,531,1634
520,1639,531,1650
520,1728,531,1739
521,1584,532,1595
521,1807,532,1818
522,1480,533,1491
523,1434,534,1445
523,1561,534,1572
523,1698,534,1709
523,2265,534,2276
525,1038,536,1049
525,1049,536,1060
525,1518,536,1529
525,1529,536,1540
526,1329,537,1340
526,1456,537,1467
526,1467,537,1478
526,1609,537,1620
527,782,538,793
527,821,538,832
527,1340,538,1351
527,1351,538,1362
527,1364,538,1375
527,1375,538,1386
527,1386,538,1397
527,1397,538,1408
527,1408,538,1419
527,1419,538,1430
527,1650,538,1661
527,1745,538,1756
528,793,539,804
528,804,539,815
528,1491,539,1502
528,1502,539,1513
528,1540,539,1551
528,1674,539,1685
528,2098,539,2109
529,1026,540,1037
529,1445,540,1456
529,1572,540,1583
530,1709,541,1720
531,1620,542,1631
531,1637,542,1648
531,1685,542,1696
531,1731,542,1742
531,2288,542,2299
532,1583,543,1594
532,1808,543,1819
533,1478,544,1489
533,2277,544,2288
534,1430,545,1441
534,1551,545,1562
534,1696,545,1707
535,771,546,782
535,1661,546,1672
536,1037,547,1048
536,1513,547,1524
536,1524,547,1535
537,1320,548,1331
537,1456,548,1467
537,1467,548,1478
537,1607,548,1618
538,782,549,793
538,815,549,826
538,826,549,837
538,1331,549,1342
538,1342,549,1353
538,1353,549,1364
538,1364,549,1375
538,1375,549,1386
538,1386,549,1397
538,1397,549,1408
538,1408,549,1419
538,1419,549,1430
538,1648,549,1659
539,793,550,804
539,804,550,815
539,928,550,939
539,1489,550,1500
539,1500,550,1511
539,1535,550,1546
539,1672,550,1683
539,2084,550,2095
539,2095,550,2106
539,2106,550,2117
540,1441,551,1452
540,1571,551,1582
541,1707,552,1718
542,691,553,702
542,1628,553,1639
542,1683,553,1694
543,1582,554,1593
543,1802,554,1813
544,853,555,864
544,1478,555,1489
545,702,556,713
545,1430,556,1441
545,1546,556,1557
545,1557,556,1568
545,1694,556,1705
545,2261,556,2272
546,764,557,775
546,1769,557,1780
547,1511,558,1522
547,1522,558,1533
547,1659,558,1670
548,837,559,848
548,1318,559,1329
548,1452,559,1463
548,1463,559,1474
548,1604,559,1615
548,1615,559,1626
549,775,560,786
549,815,560,826
549,826,560,837
549,1329,560,1340
549,1340,560,1351
549,1363,560,1374
549,1374,560,1385
549,1385,560,1396
549,1396,560,1407
549,1407,560,1418
549,1418,560,1429
549,1639,560,1650
550,786,561,797
550,797,561,808
550,1489,561,1500
550,1500,561,1511
550,1533,561,1544
550,1670,561,1681
550,2083,561,2094
550,2094,561,2105
550,2105,561,2116
551,1351,562,1362
551,1441,562,1452
551,1568,562,1579
551,1789,562,1800
552,1705,563,1716
553,651,564,662
553,687,564,698
553,1626,564,1637
553,1681,564,1692
554,1800,565,1811
