image_id,crop_y1,crop_y2,crop_x1,crop_x2,image_filename
0,12659,12695,2633,2669,pred_1.png
1,12659,12695,2669,2705,pred_2.png
2,12659,12695,2706,2742,pred_3.png
3,12665,12701,2496,2532,pred_4.png
4,12675,12711,2533,2569,pred_5.png
5,12682,12718,2569,2605,pred_6.png
6,12685,12721,2743,2779,pred_7.png
7,12685,12721,2779,2815,pred_8.png
8,12685,12721,2816,2852,pred_9.png
9,12692,12728,2853,2889,pred_10.png
10,12695,12731,2606,2642,pred_11.png
11,12695,12731,2643,2679,pred_12.png
12,12695,12731,2679,2715,pred_13.png
13,12702,12738,2479,2515,pred_14.png
14,12712,12748,2516,2552,pred_15.png
15,12719,12755,2553,2589,pred_16.png
16,12722,12758,2716,2752,pred_17.png
17,12722,12758,2753,2789,pred_18.png
18,12722,12758,2789,2825,pred_19.png
19,12729,12765,2826,2862,pred_20.png
20,12732,12768,2589,2625,pred_21.png
21,12732,12768,2626,2662,pred_22.png
22,12732,12768,2663,2699,pred_23.png
23,12742,12778,2863,2899,pred_24.png
24,12749,12785,2496,2532,pred_25.png
25,12755,12791,2533,2569,pred_26.png
26,12759,12795,2699,2735,pred_27.png
27,12759,12795,2736,2772,pred_28.png
28,12759,12795,2773,2809,pred_29.png
29,12765,12801,2809,2845,pred_30.png
30,12769,12805,2569,2605,pred_31.png
31,12769,12805,2606,2642,pred_32.png
32,12769,12805,2643,2679,pred_33.png
33,12779,12815,2846,2882,pred_34.png
34,12785,12821,2489,2525,pred_35.png
35,12792,12828,2526,2562,pred_36.png
36,12795,12831,2679,2715,pred_37.png
37,12795,12831,2716,2752,pred_38.png
38,12795,12831,2753,2789,pred_39.png
39,12802,12838,2789,2825,pred_40.png
40,12805,12841,2563,2599,pred_41.png
41,12805,12841,2599,2635,pred_42.png
42,12805,12841,2636,2672,pred_43.png
43,12815,12851,2826,2862,pred_44.png
44,12815,12851,2863,2899,pred_45.png
45,12822,12858,2479,2515,pred_46.png
46,12829,12865,2516,2552,pred_47.png
47,12832,12868,2673,2709,pred_48.png
48,12832,12868,2709,2745,pred_49.png
49,12832,12868,2746,2782,pred_50.png
50,12839,12875,2783,2819,pred_51.png
51,12842,12878,2553,2589,pred_52.png
52,12842,12878,2589,2625,pred_53.png
53,12842,12878,2626,2662,pred_54.png
54,12852,12888,2819,2855,pred_55.png
55,12852,12888,2856,2892,pred_56.png
56,12865,12901,2493,2529,pred_57.png
57,12869,12905,2663,2699,pred_58.png
58,12869,12905,2699,2735,pred_59.png
59,12869,12905,2736,2772,pred_60.png
60,12875,12911,2773,2809,pred_61.png
61,12879,12915,2529,2565,pred_62.png
62,12879,12915,2566,2602,pred_63.png
63,12879,12915,2603,2639,pred_64.png
0,12889,12925,2809,2845,pred_66.png
1,12889,12925,2846,2882,pred_67.png
2,12902,12938,2476,2512,pred_68.png
3,12905,12941,2639,2675,pred_69.png
4,12905,12941,2676,2712,pred_70.png
5,12905,12941,2713,2749,pred_71.png
6,12912,12948,2749,2785,pred_72.png
7,12915,12951,2513,2549,pred_73.png
8,12915,12951,2549,2585,pred_74.png
9,12915,12951,2586,2622,pred_75.png
10,12925,12961,2786,2822,pred_76.png
11,12925,12961,2823,2859,pred_77.png
12,12942,12978,2623,2659,pred_78.png
13,12942,12978,2659,2695,pred_79.png
14,12942,12978,2696,2732,pred_80.png
15,12949,12985,2733,2769,pred_81.png
16,12952,12988,2499,2535,pred_82.png
17,12952,12988,2536,2572,pred_83.png
18,12952,12988,2573,2609,pred_84.png
19,12959,12995,2859,2895,pred_85.png
20,12962,12998,2769,2805,pred_86.png
21,12962,12998,2806,2842,pred_87.png
22,12979,13015,2609,2645,pred_88.png
23,12979,13015,2646,2682,pred_89.png
24,12979,13015,2683,2719,pred_90.png
25,12985,13021,2719,2755,pred_91.png
26,12989,13025,2493,2529,pred_92.png
27,12989,13025,2529,2565,pred_93.png
28,12989,13025,2566,2602,pred_94.png
29,12995,13031,2843,2879,pred_95.png
30,12999,13035,2756,2792,pred_96.png
31,12999,13035,2793,2829,pred_97.png
32,13015,13051,2603,2639,pred_98.png
33,13015,13051,2639,2675,pred_99.png
34,13015,13051,2676,2712,pred_100.png
35,13022,13058,2713,2749,pred_101.png
36,13025,13061,2503,2539,pred_102.png
37,13025,13061,2539,2575,pred_103.png
38,13032,13068,2829,2865,pred_104.png
39,13032,13068,2866,2902,pred_105.png
40,13035,13071,2749,2785,pred_106.png
41,13035,13071,2786,2822,pred_107.png
42,13052,13088,2576,2612,pred_108.png
43,13052,13088,2613,2649,pred_109.png
44,13052,13088,2649,2685,pred_110.png
45,13059,13095,2686,2722,pred_111.png
46,13062,13098,2506,2542,pred_112.png
